DISTRICT,VPI,TWO-PARTY
CD 1,0.260896,252093
CD 2,0.314561,271877
CD 3,0.356481,267229
CD 4,0.336319,255882
CD 5,0.568099,269249
CD 6,0.299318,274878
CD 7,0.333792,275863
CD 8,0.331925,301695
CD 9,0.789073,254273
