DISTRICT,VPI,TWO-PARTY
CD 1,0.314330,144024
CD 2,0.322170,122063
CD 3,0.284031,118047
CD 4,0.359778,140584
CD 5,0.361677,122930
CD 6,0.352228,127270
CD 7,0.316849,127761
CD 8,0.262704,118365
CD 9,0.671549,81318
CD 10,0.365529,142112
CD 11,0.238025,135700
CD 12,0.332812,131699
CD 13,0.255228,143562
CD 14,0.433394,133313
CD 15,0.463558,62113
CD 16,0.530420,79011
CD 17,0.372743,131549
CD 18,0.690458,84399
CD 19,0.259480,134126
CD 20,0.500506,91971
CD 21,0.337251,177734
CD 22,0.336237,111570
CD 23,0.408598,98072
CD 24,0.316220,131241
CD 25,0.376910,153713
CD 26,0.285334,109300
CD 27,0.376046,138087
CD 28,0.495872,73638
CD 29,0.600575,50122
CD 30,0.699686,106795
CD 31,0.328786,116930
CD 32,0.359744,145070
CD 33,0.629515,64726
CD 34,0.501454,76007
CD 35,0.548761,80977
CD 36,0.355176,128815
