DISTRICT,VPI,TWO-PARTY
CD 1,0.204146,394090
CD 2,0.203314,414974
CD 3,0.276796,421745
CD 4,0.288347,404167
CD 5,0.473767,413528
CD 6,0.259112,442956
CD 7,0.289691,429218
CD 8,0.300764,489269
CD 9,0.698188,373774
