DISTRICT,VPI
CD 1,0.546510
CD 2,0.553766
CD 3,0.555302
CD 4,0.574840
CD 5,0.577183
CD 6,0.579480
CD 7,0.618246
CD 8,0.646257
CD 9,0.816538
