,04P,06AG,06G,06S,08P,08S,10-12D,10A,10AG,10G,10S,10SoS,10T,12P,12S,13S,Mean,sem
,,,,,,,,,,,,,,,,,0.607569,
0.0555555555555556,0.580376,0.70068,0.544996,0.655632,0.578864,0.635653,0.494801,0.454972,0.598796,0.452843,0.412941,0.621092,0.501517,0.555027,0.463757,0.492214,0.5465100625,0.0207841074059542
0.166666666666667,0.592522,0.694917,0.567165,0.655209,0.587195,0.621332,0.513505,0.478395,0.580604,0.498056,0.421188,0.622534,0.511228,0.562805,0.488847,0.464759,0.5537663125,0.0188235224930845
0.277777777777778,0.580233,0.708651,0.563571,0.65173,0.599019,0.639209,0.510298,0.463741,0.594029,0.478539,0.42575,0.617018,0.490548,0.578807,0.49182,0.491869,0.555302,0.0197535590668703
0.388888888888889,0.595702,0.718573,0.565104,0.679055,0.587937,0.653261,0.534016,0.490715,0.619331,0.501264,0.431421,0.678861,0.545103,0.585861,0.500977,0.510253,0.574839625,0.0200551513862139
0.5,0.610309,0.714522,0.641319,0.68411,0.617571,0.665386,0.52746,0.494133,0.588261,0.524533,0.44874,0.634439,0.46091,0.599022,0.514465,0.509755,0.5771834375,0.020354546495392
0.611111111111111,0.618041,0.721445,0.599035,0.689516,0.61418,0.674337,0.523558,0.474953,0.597708,0.504045,0.452006,0.632406,0.543925,0.580638,0.496509,0.549375,0.5794798125,0.0196337203284338
0.722222222222222,0.637588,0.735133,0.650546,0.692481,0.655387,0.709822,0.583518,0.5553,0.619134,0.578918,0.498403,0.657863,0.565273,0.651152,0.571739,0.529685,0.618246375,0.0166956688886856
0.833333333333333,0.671975,0.749849,0.631764,0.726889,0.673394,0.714929,0.605363,0.528898,0.691357,0.580639,0.549967,0.704562,0.609173,0.663029,0.5878,0.65052,0.64625675,0.0162153328978316
0.944444444444444,0.816306,0.865878,0.805059,0.866558,0.830888,0.861092,0.797051,0.756993,0.831123,0.789041,0.742236,0.867162,0.794339,0.840541,0.786371,0.813964,0.816537625,0.00962258317313799
1.05555555555556,,,,,,,,,,,,,,,,,,
1.16666666666667,,,,,,,,,,,,,,,,,,
1.27777777777778,,,,,,,,,,,,,,,,,,
1.38888888888889,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,
1.61111111111111,,,,,,,,,,,,,,,,,,
1.72222222222222,,,,,,,,,,,,,,,,,,
1.83333333333333,,,,,,,,,,,,,,,,,,
1.94444444444444,,,,,,,,,,,,,,,,,,
2.05555555555556,,,,,,,,,,,,,,,,,,
2.16666666666667,,,,,,,,,,,,,,,,,,
2.27777777777778,,,,,,,,,,,,,,,,,,
2.38888888888889,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,
2.61111111111111,,,,,,,,,,,,,,,,,,
2.72222222222222,,,,,,,,,,,,,,,,,,
2.83333333333333,,,,,,,,,,,,,,,,,,
2.94444444444444,,,,,,,,,,,,,,,,,,
3.05555555555556,,,,,,,,,,,,,,,,,,
3.16666666666667,,,,,,,,,,,,,,,,,,
3.27777777777778,,,,,,,,,,,,,,,,,,
3.38888888888889,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,
