Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000531, 0.000000, -0.000265
0.255000, 0.000905, 0.000001, -0.000452
0.260000, 0.001488, 0.000002, -0.000743
0.265000, 0.002360, 0.000003, -0.001178
0.270000, 0.003614, 0.000006, -0.001804
0.275000, 0.005349, 0.000012, -0.002668
0.280000, 0.007655, 0.000022, -0.003816
0.285000, 0.010607, 0.000040, -0.005283
0.290000, 0.014247, 0.000070, -0.007089
0.295000, 0.018580, 0.000121, -0.009230
0.300000, 0.023565, 0.000203, -0.011681
0.305000, 0.029126, 0.000334, -0.014396
0.310000, 0.035164, 0.000538, -0.017313
0.315000, 0.041573, 0.000845, -0.020364
0.320000, 0.048270, 0.001301, -0.023485
0.325000, 0.055205, 0.001960, -0.026622
0.330000, 0.062372, 0.002893, -0.029739
0.335000, 0.069812, 0.004187, -0.032812
0.340000, 0.077598, 0.005945, -0.035827
0.345000, 0.085818, 0.008286, -0.038766
0.350000, 0.094549, 0.011347, -0.041601
0.355000, 0.103837, 0.015280, -0.044279
0.360000, 0.113679, 0.020249, -0.046715
0.365000, 0.124018, 0.026432, -0.048793
0.370000, 0.134741, 0.034013, -0.050364
0.375000, 0.145690, 0.043184, -0.051253
0.380000, 0.156680, 0.054137, -0.051271
0.385000, 0.167513, 0.067060, -0.050226
0.390000, 0.177996, 0.082127, -0.047935
0.395000, 0.187961, 0.099492, -0.044234
0.400000, 0.197270, 0.119275, -0.038998
0.405000, 0.205828, 0.141548, -0.032140
0.410000, 0.213580, 0.166323, -0.023629
0.415000, 0.220515, 0.193539, -0.013488
0.420000, 0.226658, 0.223051, -0.001803
0.425000, 0.232070, 0.254625, +0.011278
0.430000, 0.236839, 0.287939, +0.025550
0.435000, 0.241080, 0.322591, +0.040756
0.440000, 0.244923, 0.358112, +0.056595
0.445000, 0.248516, 0.393986, +0.072735
0.450000, 0.252017, 0.429677, +0.088830
0.455000, 0.255594, 0.464652, +0.104529
0.460000, 0.259418, 0.498410, +0.119496
0.465000, 0.263665, 0.530503, +0.133419
0.470000, 0.268509, 0.560557, +0.146024
0.475000, 0.274124, 0.588283, +0.157080
0.480000, 0.280677, 0.613485, +0.166404
0.485000, 0.288325, 0.635947, +0.173811
0.490000, 0.297215, 0.652533, +0.177659
0.495000, 0.307477, 0.667468, +0.179995
0.500000, 0.319221, 0.680779, +0.180779
0.505000, 0.332532, 0.692523, +0.179995
0.510000, 0.347467, 0.702785, +0.177659
0.515000, 0.364053, 0.711675, +0.173811
0.520000, 0.386515, 0.719323, +0.166404
0.525000, 0.411717, 0.725876, +0.157080
0.530000, 0.439443, 0.731491, +0.146024
0.535000, 0.469497, 0.736335, +0.133419
0.540000, 0.501590, 0.740582, +0.119496
0.545000, 0.535348, 0.744406, +0.104529
0.550000, 0.570323, 0.747983, +0.088830
0.555000, 0.606014, 0.751484, +0.072735
0.560000, 0.641888, 0.755077, +0.056595
0.565000, 0.677409, 0.758920, +0.040756
0.570000, 0.712061, 0.763161, +0.025550
0.575000, 0.745375, 0.767930, +0.011278
0.580000, 0.776949, 0.773342, -0.001803
0.585000, 0.806461, 0.779485, -0.013488
0.590000, 0.833677, 0.786420, -0.023629
0.595000, 0.858452, 0.794172, -0.032140
0.600000, 0.880725, 0.802730, -0.038998
0.605000, 0.900508, 0.812039, -0.044234
0.610000, 0.917873, 0.822004, -0.047935
0.615000, 0.932940, 0.832487, -0.050226
0.620000, 0.945863, 0.843320, -0.051271
0.625000, 0.956816, 0.854310, -0.051253
0.630000, 0.965987, 0.865259, -0.050364
0.635000, 0.973568, 0.875982, -0.048793
0.640000, 0.979751, 0.886321, -0.046715
0.645000, 0.984720, 0.896163, -0.044279
0.650000, 0.988653, 0.905451, -0.041601
0.655000, 0.991714, 0.914182, -0.038766
0.660000, 0.994055, 0.922402, -0.035827
0.665000, 0.995813, 0.930188, -0.032812
0.670000, 0.997107, 0.937628, -0.029739
0.675000, 0.998040, 0.944795, -0.026622
0.680000, 0.998699, 0.951730, -0.023485
0.685000, 0.999155, 0.958427, -0.020364
0.690000, 0.999462, 0.964836, -0.017313
0.695000, 0.999666, 0.970874, -0.014396
0.700000, 0.999797, 0.976435, -0.011681
0.705000, 0.999879, 0.981420, -0.009230
0.710000, 0.999930, 0.985753, -0.007089
0.715000, 0.999960, 0.989393, -0.005283
0.720000, 0.999978, 0.992345, -0.003816
0.725000, 0.999988, 0.994651, -0.002668
0.730000, 0.999994, 0.996386, -0.001804
0.735000, 0.999997, 0.997640, -0.001178
0.740000, 0.999998, 0.998512, -0.000743
0.745000, 0.999999, 0.999095, -0.000452
0.750000, 1.000000, 0.999469, -0.000265
