DISTRICT,VPI,TWO-PARTY
CD 1,0.397416,242677
CD 2,0.607955,208828
CD 3,0.583553,229049
CD 4,0.714732,184146
CD 5,0.606720,205328
CD 6,0.538124,199038
CD 7,0.698624,210657
CD 8,0.619297,240828
