Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000266, 0.000001, -0.000133
0.255000, 0.000469, 0.000001, -0.000234
0.260000, 0.000795, 0.000003, -0.000396
0.265000, 0.001304, 0.000006, -0.000649
0.270000, 0.002067, 0.000011, -0.001028
0.275000, 0.003168, 0.000020, -0.001574
0.280000, 0.004699, 0.000036, -0.002331
0.285000, 0.006749, 0.000065, -0.003342
0.290000, 0.009399, 0.000113, -0.004643
0.295000, 0.012704, 0.000191, -0.006256
0.300000, 0.016688, 0.000317, -0.008185
0.305000, 0.021340, 0.000514, -0.010413
0.310000, 0.026613, 0.000813, -0.012900
0.315000, 0.032436, 0.001258, -0.015589
0.320000, 0.038728, 0.001904, -0.018412
0.325000, 0.045417, 0.002819, -0.021299
0.330000, 0.052457, 0.004087, -0.024185
0.335000, 0.059838, 0.005806, -0.027016
0.340000, 0.067593, 0.008088, -0.029753
0.345000, 0.075785, 0.011055, -0.032365
0.350000, 0.084495, 0.014840, -0.034828
0.355000, 0.093799, 0.019583, -0.037108
0.360000, 0.103742, 0.025428, -0.039157
0.365000, 0.114322, 0.032519, -0.040902
0.370000, 0.125478, 0.041003, -0.042238
0.375000, 0.137083, 0.051022, -0.043031
0.380000, 0.148956, 0.062718, -0.043119
0.385000, 0.160873, 0.076224, -0.042324
0.390000, 0.172590, 0.091666, -0.040462
0.395000, 0.183867, 0.109156, -0.037356
0.400000, 0.194489, 0.128780, -0.032854
0.405000, 0.204284, 0.150594, -0.026845
0.410000, 0.213136, 0.174610, -0.019263
0.415000, 0.220993, 0.200785, -0.010104
0.420000, 0.227863, 0.229010, +0.000574
0.425000, 0.233812, 0.259105, +0.012647
0.430000, 0.238956, 0.290814, +0.025929
0.435000, 0.243449, 0.323810, +0.040180
0.440000, 0.247473, 0.357702, +0.055115
0.445000, 0.251227, 0.392052, +0.070413
0.450000, 0.254920, 0.426389, +0.085734
0.455000, 0.258764, 0.460234, +0.100735
0.460000, 0.262970, 0.493122, +0.115076
0.465000, 0.267742, 0.524622, +0.128440
0.470000, 0.273276, 0.552851, +0.139788
0.475000, 0.279759, 0.575897, +0.148069
0.480000, 0.287363, 0.597554, +0.155095
0.485000, 0.296248, 0.617687, +0.160720
0.490000, 0.306550, 0.636197, +0.164824
0.495000, 0.318385, 0.653027, +0.167321
0.500000, 0.331840, 0.668160, +0.168160
0.505000, 0.346973, 0.681615, +0.167321
0.510000, 0.363803, 0.693450, +0.164824
0.515000, 0.382313, 0.703752, +0.160720
0.520000, 0.402446, 0.712637, +0.155095
0.525000, 0.424103, 0.720241, +0.148069
0.530000, 0.447149, 0.726724, +0.139788
0.535000, 0.475378, 0.732258, +0.128440
0.540000, 0.506878, 0.737030, +0.115076
0.545000, 0.539766, 0.741236, +0.100735
0.550000, 0.573611, 0.745080, +0.085734
0.555000, 0.607948, 0.748773, +0.070413
0.560000, 0.642298, 0.752527, +0.055115
0.565000, 0.676190, 0.756551, +0.040180
0.570000, 0.709186, 0.761044, +0.025929
0.575000, 0.740895, 0.766188, +0.012647
0.580000, 0.770990, 0.772137, +0.000574
0.585000, 0.799215, 0.779007, -0.010104
0.590000, 0.825390, 0.786864, -0.019263
0.595000, 0.849406, 0.795716, -0.026845
0.600000, 0.871220, 0.805511, -0.032854
0.605000, 0.890844, 0.816133, -0.037356
0.610000, 0.908334, 0.827410, -0.040462
0.615000, 0.923776, 0.839127, -0.042324
0.620000, 0.937282, 0.851044, -0.043119
0.625000, 0.948978, 0.862917, -0.043031
0.630000, 0.958997, 0.874522, -0.042238
0.635000, 0.967481, 0.885678, -0.040902
0.640000, 0.974572, 0.896258, -0.039157
0.645000, 0.980417, 0.906201, -0.037108
0.650000, 0.985160, 0.915505, -0.034828
0.655000, 0.988945, 0.924215, -0.032365
0.660000, 0.991912, 0.932407, -0.029753
0.665000, 0.994194, 0.940162, -0.027016
0.670000, 0.995913, 0.947543, -0.024185
0.675000, 0.997181, 0.954583, -0.021299
0.680000, 0.998096, 0.961272, -0.018412
0.685000, 0.998742, 0.967564, -0.015589
0.690000, 0.999187, 0.973387, -0.012900
0.695000, 0.999486, 0.978660, -0.010413
0.700000, 0.999683, 0.983312, -0.008185
0.705000, 0.999809, 0.987296, -0.006256
0.710000, 0.999887, 0.990601, -0.004643
0.715000, 0.999935, 0.993251, -0.003342
0.720000, 0.999964, 0.995301, -0.002331
0.725000, 0.999980, 0.996832, -0.001574
0.730000, 0.999989, 0.997933, -0.001028
0.735000, 0.999994, 0.998696, -0.000649
0.740000, 0.999997, 0.999205, -0.000396
0.745000, 0.999999, 0.999531, -0.000234
0.750000, 0.999999, 0.999734, -0.000133
