DISTRICT,VPI,TWO-PARTY
CD 1,0.200795,232033
CD 2,0.225975,247465
CD 3,0.266142,251212
CD 4,0.275214,235362
CD 5,0.463139,242435
CD 6,0.231102,248479
CD 7,0.269998,251498
CD 8,0.273097,278308
CD 9,0.701105,225534
