rank,08P,10-12D,10AG,10C,10G,10SoS,10T,12P,12S,Mean,Standard Deviation
,,,,,,,,,,"Statistics On Rows of [rank CA]Sheet1!Col(""08P""):Col(""12S"")","Statistics On Rows of [rank CA]Sheet1!Col(""08P""):Col(""12S"")"
0.00943396226415094,0.374609,0.358793,0.26838,0.390804,0.363545,0.357772,0.405643,0.370014,0.380133,0.363299222222222,0.0129456444217284
0.0283018867924528,0.403664,0.369687,0.287644,0.398094,0.336361,0.348153,0.385458,0.383372,0.39521,0.367515888888889,0.0125342791879847
0.0471698113207547,0.476629,0.410378,0.313768,0.381398,0.362446,0.376654,0.403411,0.439896,0.444283,0.400984777777778,0.0163607843831742
0.0660377358490566,0.449998,0.409971,0.325613,0.396995,0.382713,0.381884,0.432925,0.422631,0.431785,0.403835,0.0124960246178535
0.0849056603773585,0.438232,0.39981,0.313732,0.447515,0.377303,0.384156,0.431695,0.423561,0.43236,0.405373777777778,0.0140804815039371
0.10377358490566,0.475187,0.418703,0.319269,0.392622,0.374643,0.393484,0.417884,0.440225,0.449351,0.409040888888889,0.0153197504888338
0.122641509433962,0.435259,0.417959,0.335448,0.424152,0.407184,0.398857,0.455978,0.428214,0.434803,0.415317111111111,0.0114250023880917
0.141509433962264,0.444609,0.408252,0.326871,0.504942,0.406845,0.414176,0.447253,0.405864,0.41495,0.419306888888889,0.0157243957527825
0.160377358490566,0.440296,0.41478,0.353912,0.475616,0.412287,0.418824,0.442891,0.415858,0.424566,0.422114444444444,0.0108541959911454
0.179245283018868,0.506722,0.442037,0.356206,0.452318,0.401667,0.424925,0.44048,0.466339,0.466908,0.439733555555556,0.0143096663028014
0.19811320754717,0.488128,0.456993,0.3438,0.44632,0.413678,0.423073,0.463186,0.481319,0.491781,0.445364222222222,0.015610701566
0.216981132075472,0.507394,0.460214,0.345615,0.432524,0.427236,0.432706,0.477416,0.490736,0.491953,0.451754888888889,0.0164826146670468
0.235849056603774,0.518404,0.505939,0.422942,0.491616,0.466323,0.485303,0.529119,0.516162,0.536518,0.496925111111111,0.0118379944745304
0.254716981132075,0.514338,0.497833,0.421142,0.565883,0.471678,0.491349,0.52357,0.518476,0.520687,0.502772888888889,0.0133863854452994
0.273584905660377,0.561301,0.512091,0.418185,0.52998,0.457474,0.498089,0.514825,0.532807,0.544861,0.507734777777778,0.0149437650569447
0.292452830188679,0.52744,0.522225,0.419525,0.607751,0.526407,0.524118,0.555602,0.520175,0.534812,0.526450555555556,0.0162558608209736
0.311320754716981,0.577533,0.534043,0.441336,0.518868,0.494411,0.514833,0.560084,0.552492,0.561968,0.528396444444444,0.0140274139823014
0.330188679245283,0.536276,0.522859,0.433366,0.570223,0.520956,0.509005,0.561913,0.556504,0.556363,0.529718333333333,0.0139364535142753
0.349056603773585,0.578305,0.530696,0.454631,0.538103,0.503466,0.528199,0.559933,0.556428,0.558981,0.534304666666667,0.0123911088229065
0.367924528301887,0.561418,0.547591,0.465699,0.611751,0.537442,0.543425,0.563701,0.557549,0.564703,0.550364333333333,0.0127566110082838
0.386792452830189,0.579955,0.561955,0.457245,0.553884,0.539512,0.547873,0.58461,0.584762,0.586691,0.555165222222222,0.013583938812454
0.405660377358491,0.594304,0.560892,0.482317,0.602286,0.541062,0.544948,0.595667,0.598013,0.593139,0.568069777777778,0.013341013138041
0.424528301886792,0.580079,0.569855,0.486348,0.610807,0.544797,0.556746,0.58956,0.590387,0.596065,0.569404888888889,0.0123882535777562
0.443396226415094,0.594934,0.582144,0.465528,0.565407,0.541784,0.560295,0.588419,0.61577,0.614386,0.569851888888889,0.0153654903883168
0.462264150943396,0.600669,0.591505,0.4937,0.5518,0.552213,0.566536,0.588672,0.629265,0.630194,0.578283777777778,0.0143134901052758
0.481132075471698,0.607349,0.596261,0.494607,0.578679,0.56511,0.567426,0.608657,0.628825,0.629711,0.586291666666667,0.0139472902376133
0.5,0.624577,0.60555,0.523957,0.631338,0.564422,0.589298,0.61609,0.627824,0.633272,0.601814222222222,0.0122985053572215
0.518867924528302,0.655366,0.614949,0.488077,0.600269,0.572019,0.603889,0.623768,0.622379,0.645021,0.602859666666667,0.0165129520688391
0.537735849056604,0.630719,0.620585,0.486844,0.623597,0.58373,0.605871,0.63385,0.641478,0.651518,0.608688,0.0166118676971883
0.556603773584906,0.637926,0.638458,0.520517,0.633025,0.615184,0.629754,0.654928,0.663082,0.665681,0.628728333333333,0.0145888156219071
0.575471698113208,0.643492,0.640174,0.522194,0.63276,0.619017,0.630672,0.662413,0.667541,0.666687,0.631661111111111,0.0148218143742822
