rank,08P,10-12D,10AG,10C,10G,10SoS,10T,12P,12S,Mean,Standard Deviation
0.594339622641509,0.673339,0.652137,0.513768,0.636662,0.607092,0.636833,0.660942,0.670193,0.685624,0.637398888888889,0.0173478561311097
0.613207547169811,0.66427,0.655151,0.552271,0.6519,0.635907,0.646083,0.668892,0.687954,0.680404,0.649203555555556,0.0132888825517915
0.632075471698113,0.689671,0.672502,0.581468,0.665054,0.62394,0.652161,0.68235,0.695095,0.706848,0.663232111111111,0.0131355949062128
0.650943396226415,0.672136,0.673446,0.595117,0.698672,0.647589,0.667126,0.677042,0.706153,0.700765,0.670894,0.0113360405810651
0.669811320754717,0.707261,0.679794,0.586144,0.669066,0.641374,0.659643,0.691543,0.693031,0.715043,0.671433222222222,0.0131490565248548
0.688679245283019,0.718011,0.681279,0.589412,0.664998,0.631535,0.66433,0.683463,0.702269,0.715537,0.672314888888889,0.013799835717062
0.707547169811321,0.699057,0.697923,0.61102,0.667246,0.64393,0.677958,0.702003,0.728652,0.735138,0.684769666666667,0.0132272464139157
0.726415094339623,0.720922,0.703771,0.584464,0.690918,0.669011,0.689591,0.70341,0.725958,0.734069,0.691346,0.0149646728107678
0.745283018867924,0.724681,0.700923,0.62536,0.706465,0.669466,0.686648,0.71314,0.717533,0.7248,0.696557333333333,0.0107509487178264
0.764150943396226,0.712177,0.711938,0.618487,0.70614,0.643873,0.696665,0.709568,0.737934,0.747807,0.698287666666667,0.0139063743157989
0.783018867924528,0.697587,0.698481,0.601831,0.762878,0.700764,0.70411,0.718197,0.709722,0.712606,0.700686222222222,0.0140419621094317
0.80188679245283,0.734237,0.701634,0.637869,0.701192,0.668915,0.691945,0.717805,0.730201,0.731291,0.701676555555556,0.0107047704580081
0.820754716981132,0.737181,0.708272,0.633165,0.713606,0.680455,0.69071,0.716004,0.719143,0.734292,0.703647555555556,0.010704351468641
0.839622641509434,0.749645,0.750428,0.636637,0.740907,0.699575,0.726674,0.751017,0.759071,0.793478,0.734159111111111,0.0147837159359025
0.858490566037736,0.760159,0.753015,0.652291,0.748393,0.731273,0.750945,0.761858,0.789629,0.777907,0.747274444444444,0.0131426641801838
0.877358490566038,0.771048,0.761879,0.674809,0.760493,0.734645,0.754557,0.766719,0.795778,0.78295,0.755875333333333,0.0116396339301448
0.89622641509434,0.795226,0.793728,0.709395,0.793346,0.786192,0.7987,0.805407,0.831424,0.812439,0.791761888888889,0.0112229028843359
0.915094339622642,0.796243,0.826649,0.730508,0.831994,0.811942,0.83183,0.830321,0.854344,0.845979,0.817756666666667,0.0122937470171719
0.933962264150943,0.83351,0.83295,0.762534,0.837671,0.82269,0.838532,0.841862,0.861488,0.847141,0.830930888888889,0.00926161073320709
0.952830188679245,0.863746,0.849811,0.777278,0.853734,0.833803,0.848351,0.860589,0.869709,0.86077,0.846421222222222,0.00932274543459552
0.971698113207547,0.867706,0.860586,0.787693,0.859244,0.824032,0.853423,0.860427,0.870735,0.888083,0.852436555555556,0.00987053681573926
0.990566037735849,0.897214,0.892399,0.836795,0.895345,0.881464,0.890781,0.897087,0.907046,0.908613,0.889638222222222,0.00714596701483855
1.00943396226415,,,,,,,,,,,
1.02830188679245,,,,,,,,,,,
1.04716981132075,,,,,,,,,,,
1.06603773584906,,,,,,,,,,,
1.08490566037736,,,,,,,,,,,
1.10377358490566,,,,,,,,,,,
1.12264150943396,,,,,,,,,,,
1.14150943396226,,,,,,,,,,,
1.16037735849057,,,,,,,,,,,
