DISTRICT,VPI
CD 1,0.363299
CD 2,0.367516
CD 3,0.400985
CD 4,0.403835
CD 5,0.405374
CD 6,0.409041
CD 7,0.415317
CD 8,0.419307
CD 9,0.422114
CD 10,0.439734
CD 11,0.445364
CD 12,0.451755
CD 13,0.496925
CD 14,0.502773
CD 15,0.507735
CD 16,0.526451
CD 17,0.528396
CD 18,0.529718
CD 19,0.534305
CD 20,0.550364
CD 21,0.555165
CD 22,0.568070
CD 23,0.569405
CD 24,0.569852
CD 25,0.578284
CD 26,0.586292
CD 27,0.601814
CD 28,0.602860
CD 29,0.608688
CD 30,0.628728
CD 31,0.631661
CD 32,0.637399
CD 33,0.649204
CD 34,0.663232
CD 35,0.670894
CD 36,0.671433
CD 37,0.672315
CD 38,0.684770
CD 39,0.691346
CD 40,0.696557
CD 41,0.698288
CD 42,0.700686
CD 43,0.701677
CD 44,0.703648
CD 45,0.734159
CD 46,0.747274
CD 47,0.755875
CD 48,0.791762
CD 49,0.817757
CD 50,0.830931
CD 51,0.846421
CD 52,0.852437
CD 53,0.889638
