DISTRICT,VPI,TWO-PARTY
CD 1,0.287094,146224
CD 2,0.322826,122617
CD 3,0.277700,121732
CD 4,0.319901,144601
CD 5,0.331350,125713
CD 6,0.330637,130938
CD 7,0.326725,128922
CD 8,0.251089,121168
CD 9,0.650160,80997
CD 10,0.372268,144909
CD 11,0.227225,136666
CD 12,0.308592,134958
CD 13,0.231186,146981
CD 14,0.405408,136196
CD 15,0.453820,62820
CD 16,0.497420,82168
CD 17,0.354657,134141
CD 18,0.668220,83465
CD 19,0.241372,135840
CD 20,0.495235,94547
CD 21,0.359257,182212
CD 22,0.323443,113108
CD 23,0.401689,100401
CD 24,0.305070,135123
CD 25,0.379191,157583
CD 26,0.273340,113251
CD 27,0.355783,140521
CD 28,0.465041,75602
CD 29,0.566039,49433
CD 30,0.660036,108279
CD 31,0.331961,121168
CD 32,0.351209,149492
CD 33,0.596523,65974
CD 34,0.487265,76913
CD 35,0.542749,82797
CD 36,0.327534,131574
