DISTRICT,VPI,TWO-PARTY
CD 1,0.752868,322354
CD 2,0.466950,291862
CD 3,0.550301,295491
CD 4,0.697947,324592
CD 5,0.454235,334096
CD 6,0.476153,345805
CD 7,0.500415,311739
CD 8,0.441908,288200
CD 9,0.325481,341107
CD 10,0.425339,322620
CD 11,0.465767,324160
CD 12,0.747827,282326
CD 13,0.455430,350833
