,04P,06C,06G,06SoS,06T,08P,08S,10AG,10C,10D,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
0.29,0.025888,0.0049,0.007525,0.035695,0.005542,0.01611,0.013206,0.017592,0.024389,0.020938,0.006797,0.117039,0.053874,0.027037,0.0268951428571429,0.0291984656705876,0.0268951428571429,0.00780361819705854,5.00000000003276E-6,7.0321084641278E-7,0.513445071428571,0.00390216070395247,,
0.295,0.034081,0.00726,0.010871,0.045544,0.008154,0.022072,0.018366,0.023936,0.032281,0.028083,0.00988,0.12481,0.065573,0.035451,0.0333115714285714,0.0308816209910194,0.0333115714285714,0.00825346037832863,9.07142857142773E-6,1.25559970222535E-6,0.51665125,0.00412735798901543,,
0.3,0.043521,0.010448,0.015244,0.056382,0.011651,0.029335,0.024781,0.031591,0.041443,0.036536,0.013944,0.130784,0.077526,0.045089,0.0405910714285714,0.0320463890812733,0.0405910714285714,0.00856475774466986,1.65714285714769E-5,2.2935990378242E-6,0.52028725,0.00428352567185384,,
0.305,0.053971,0.014611,0.020763,0.067825,0.016174,0.037855,0.032466,0.040483,0.051669,0.046154,0.019115,0.135141,0.089214,0.055697,0.0486527142857143,0.0326939516717097,0.0486527142857143,0.00873782612680591,2.95714285714066E-5,4.0242592461621E-6,0.524311571428571,0.00437092519302604,,
0.31,0.065091,0.019865,0.027488,0.079417,0.02183,0.047479,0.041338,0.050425,0.062639,0.056681,0.025473,0.138156,0.100151,0.066914,0.0573533571428571,0.0328220798516138,0.0573533571428571,0.00877206982329107,5.1857142857159E-5,6.81292980727581E-6,0.52865075,0.00438944137654917,,
0.315,0.076462,0.026278,0.0354,0.090683,0.028663,0.057947,0.051208,0.061126,0.073951,0.067765,0.033021,0.138981,0.109945,0.07831,0.06641,0.0322190613528939,0.06641,0.00861090635042701,8.88571428571128E-5,1.13973474564159E-5,0.533160571428571,0.00431115184894171,,
0.32,0.087635,0.033843,0.044388,0.101188,0.036642,0.068912,0.061791,0.072213,0.085164,0.07899,0.041676,0.139646,0.118338,0.089434,0.0757042857142857,0.0312009520945178,0.0757042857142857,0.00833880520563089,1.497857142857E-4,1.85594318817731E-5,0.53777725,0.00417868231875633,,
0.325,0.098188,0.042471,0.054247,0.110587,0.045646,0.079971,0.072726,0.083271,0.095849,0.089926,0.051262,0.140227,0.125222,0.099868,0.0849615,0.0297163977570271,0.0849615,0.00794204136970665,2.4771428571424E-4,2.96457896073662E-5,0.542356892857143,0.00398584357965701,,
0.33,0.107769,0.051986,0.064688,0.118658,0.055469,0.090713,0.083613,0.093888,0.105637,0.100173,0.061516,0.140739,0.130626,0.109269,0.0939102857142857,0.0277531427726346,0.0939102857142857,0.00741733940438716,4.0171428571445E-4,4.65030341171716E-5,0.546754285714286,0.00373192121925216,,
0.335,0.116131,0.06213,0.075365,0.125308,0.065825,0.100761,0.094061,0.103702,0.114255,0.109411,0.07211,0.141198,0.134687,0.11741,0.102311,0.0253553751637066,0.102311,0.00677650905540766,6.40071428571254E-4,7.127461705338E-5,0.550835464285714,0.00342389183623052,,
0.34,0.123151,0.072584,0.085908,0.130571,0.076381,0.109811,0.103723,0.112434,0.12155,0.117422,0.082682,0.141618,0.13761,0.124183,0.109973428571429,0.0226172392816912,0.109973428571429,0.00604471145905525,0.00100100000000003,1.07015250017292E-4,0.554486214285714,0.00307586335453627,,
0.345,0.128825,0.083002,0.095963,0.134575,0.086785,0.117662,0.112336,0.119915,0.127489,0.124105,0.092872,0.142018,0.139629,0.129598,0.116769571428571,0.0196691166541877,0.116769571428571,0.00525679254431855,0.00153692857142851,1.57337862271728E-4,0.557616321428571,0.00270706520329514,,
0.35,0.133247,0.093041,0.105224,0.13751,0.096702,0.124224,0.119738,0.126089,0.132137,0.129471,0.102359,0.142416,0.14097,0.133762,0.122635,0.0166585654844587,0.122635,0.00445218889985589,0.00231807142857132,2.26594653445687E-4,0.560158464285714,0.00233939177665079,,
0.355,0.136586,0.102394,0.113467,0.139593,0.105852,0.129507,0.125873,0.131,0.135639,0.133619,0.110893,0.142836,0.141835,0.136842,0.127566857142857,0.013730838087801,0.127566857142857,0.00366972083984411,0.00343442857142851,3.19497127440458E-4,0.562066214285714,0.00199460898364229,,
0.36,0.139047,0.110823,0.120561,0.141044,0.114034,0.133611,0.130781,0.134768,0.138183,0.13671,0.118312,0.143301,0.142389,0.139038,0.131614428571429,0.0110110484424599,0.131614428571429,0.00294282648148969,0.00500021428571429,4.41401192738914E-4,0.563307107142857,0.0016921138371143,,
0.365,0.140849,0.118173,0.126472,0.14206,0.121136,0.136691,0.134579,0.137567,0.139969,0.138935,0.124546,0.143842,0.142757,0.140555,0.1348665,0.00859421831367326,0.1348665,0.00229690145977882,0.00715435714285728,5.97243610052731E-4,0.563856071428571,0.00144707253491577,,
0.37,0.142202,0.124382,0.131253,0.142812,0.127145,0.138933,0.13743,0.139592,0.141193,0.140491,0.129617,0.144489,0.143035,0.14158,0.137439571428571,0.00653921661638793,0.137439571428571,0.0017476791540302,0.0100635,7.91747196790981E-4,0.563688035714286,0.00126971317541059,,
0.375,0.143292,0.129468,0.135026,0.143441,0.132134,0.14053,0.139526,0.141036,0.142026,0.141563,0.133618,0.145282,0.143294,0.142274,0.139465,0.00487525721609403,0.139465,0.0013029672982158,0.0139196428571429,0.00102834801164076,0.562772678571429,0.00116565765492828,,
0.38,0.144285,0.133523,0.137961,0.144063,0.136242,0.141664,0.141059,0.142081,0.142611,0.142311,0.136692,0.146263,0.143587,0.142768,0.141079285714286,0.00361480084414856,0.141079285714286,9.66096162873225E-4,0.0189386428571429,0.00130887931514596,0.561070321428571,0.00113748773900959,,
0.385,0.145319,0.136689,0.140252,0.144776,0.139659,0.142497,0.14221,0.142883,0.143063,0.142866,0.139012,0.147479,0.143962,0.143167,0.142416714285714,0.00277548294975768,0.142416714285714,7.41779020058997E-4,0.0253532857142857,0.00163274114698602,0.558531714285714,0.00118726008352251,,
0.39,0.146513,0.139139,0.142105,0.145618,0.142602,0.143167,0.143142,0.143576,0.143474,0.143336,0.140762,0.148984,0.144467,0.143553,0.143602714285714,0.00238534530409755,0.143602714285714,6.3751034836308E-4,0.0334066428571429,0.00199675763442335,0.555098035714286,0.00131713399139321,,
0.395,0.147976,0.141058,0.143717,0.146659,0.145299,0.143789,0.143998,0.144272,0.143918,0.14381,0.142118,0.150836,0.145119,0.143995,0.144754571428571,0.00243400204520127,0.144754571428571,6.50514409417873E-4,0.0433403571428571,0.00239458378453906,0.550707107142857,0.00152254909697847,,
0.4,0.149804,0.142633,0.145279,0.148009,0.147974,0.144462,0.144905,0.145068,0.144462,0.144363,0.143248,0.153097,0.145987,0.144555,0.145989,0.0028252354837184,0.145989,7.5507594407363E-4,0.0553831428571427,0.00281705917084759,0.545302928571429,0.00178606755746061,,
0.405,0.15209,0.144041,0.146969,0.149739,0.150837,0.145278,0.145977,0.146056,0.145167,0.145063,0.144299,0.155833,0.147132,0.145296,0.147412642857143,0.00345029242031952,0.147412642857143,9.22129437215619E-4,0.0697357142857142,0.00325249291107263,0.538838464285714,0.00208731117414412,,
0.41,0.154922,0.145448,0.148959,0.151933,0.154086,0.146324,0.147325,0.147321,0.146098,0.145981,0.145409,0.159112,0.148624,0.146285,0.1491305,0.00425080954733241,0.1491305,0.00113607663875325,0.0865572142857144,0.00368784039692217,0.531286642857143,0.00241195851783771,,
0.415,0.158272,0.147009,0.151413,0.154681,0.157895,0.147688,0.149062,0.148953,0.147325,0.147192,0.146701,0.163003,0.150544,0.147598,0.151238285714286,0.0051926970527192,0.151238285714286,0.00138780666318472,0.105952,0.00410961628646496,0.522643142857143,0.00274871147482484,,
0.42,0.161956,0.148875,0.154497,0.158084,0.162422,0.149468,0.151303,0.151047,0.148929,0.148778,0.148296,0.167577,0.152983,0.14932,0.153823928571429,0.00624074881434402,0.153823928571429,0.00166791027858507,0.127958642857143,0.00450540598554492,0.512932642857143,0.00308665813206499,,
0.425,0.1663,0.15119,0.158375,0.162248,0.167805,0.151772,0.154183,0.153703,0.150996,0.15083,0.150313,0.172901,0.156042,0.151549,0.157014785714286,0.00741550727740987,0.157014785714286,0.00198187768437118,0.152542357142857,0.00486537221462981,0.502236214285714,0.00342362494950049,,
0.43,0.171375,0.154103,0.163219,0.167283,0.174162,0.154714,0.157867,0.157028,0.153627,0.153449,0.152874,0.179041,0.159833,0.154393,0.160926285714286,0.0087079996327742,0.160926285714286,0.00232731079642817,0.179590642857143,0.00518330149637046,0.490667821428571,0.00375530614639931,,
0.435,0.177257,0.157766,0.169196,0.173305,0.181589,0.158422,0.162502,0.161132,0.156932,0.156746,0.156109,0.186061,0.164472,0.15797,0.165675642857143,0.0101069519076048,0.165675642857143,0.00270119651877562,0.208916357142857,0.00545743184742688,0.478379642857143,0.00407931418310125,,
0.44,0.18402,0.162335,0.176475,0.180427,0.190159,0.163031,0.168257,0.166125,0.161133,0.160913,0.160151,0.194022,0.170086,0.162403,0.1713955,0.0115847411561004,0.1713955,0.00309615230861337,0.240261214285714,0.00569010722023641,0.465567142857143,0.00439312976442489,,
0.445,0.191742,0.167972,0.185213,0.188762,0.19992,0.168679,0.175308,0.172117,0.166327,0.166103,0.165141,0.202982,0.1768,0.167822,0.178206285714286,0.0131212189538611,0.178206285714286,0.00350679327301377,0.2733075,0.00588725014145161,0.452449392857143,0.00469702170723269,,
0.45,0.200507,0.174839,0.195551,0.198418,0.210895,0.175503,0.183834,0.179206,0.172675,0.17244,0.171222,0.213,0.184744,0.174481,0.186236785714286,0.0146852772487831,0.186236785714286,0.00392480543533804,0.307691,0.00605644091982945,0.439272892857143,0.00499062317758375,,
0.455,0.210399,0.183097,0.207643,0.209498,0.223083,0.183663,0.194011,0.18754,0.180343,0.180084,0.178533,0.224136,0.194043,0.182559,0.195616571428571,0.0162443259145334,0.195616571428571,0.00434147871794838,0.343015714285714,0.00620499585536922,0.426300428571429,0.0052732372866588,,
0.46,0.221513,0.192897,0.221615,0.222096,0.236455,0.193631,0.206006,0.197265,0.1895,0.189196,0.18721,0.236453,0.204819,0.192148,0.206486,0.0177527686074812,0.206486,0.00474462698541932,0.378871428571429,0.00633840834417598,0.413807285714286,0.00554151766479765,,
0.465,0.233945,0.204376,0.237548,0.236299,0.250962,0.205335,0.219967,0.208486,0.200315,0.199936,0.197375,0.250022,0.217185,0.203396,0.218939071428571,0.0191945035380295,0.218939071428571,0.0051299468534662,0.414849285714286,0.0064587531410155,0.402044892857143,0.00579434999724085,,
0.47,0.247802,0.21815,0.255481,0.252183,0.266537,0.218906,0.236022,0.221311,0.212945,0.212458,0.20913,0.264922,0.231245,0.216432,0.233108857142857,0.0205173875374678,0.233108857142857,0.00548350247406213,0.450555214285714,0.00656488980614279,0.391276821428571,0.00602419614010246,,
0.475,0.263194,0.234515,0.275405,0.269813,0.283099,0.234454,0.254263,0.235835,0.227539,0.226907,0.222558,0.281241,0.247091,0.23137,0.249091714285714,0.0216949377307901,0.249091714285714,0.00579821600114366,0.485623,0.0066531419868137,0.381734357142857,0.00622567899397868,,
0.48,0.280237,0.253286,0.297267,0.289244,0.300526,0.252058,0.27475,0.25214,0.244221,0.243413,0.238368,0.299075,0.264801,0.248295,0.266977214285714,0.0226696149510192,0.266977214285714,0.00605870944548585,0.519724142857143,0.0067184830802443,0.373626535714286,0.00638859626286508,,
0.485,0.299042,0.274559,0.320963,0.310516,0.319067,0.271762,0.297501,0.270297,0.263094,0.262086,0.256875,0.318527,0.284435,0.267265,0.286856357142857,0.0234446293394167,0.286856357142857,0.00626584075342897,0.552572071428571,0.00675616201803164,0.367142142857143,0.0065110013857303,,
0.49,0.319718,0.298383,0.346347,0.333653,0.338946,0.293575,0.322489,0.290359,0.284227,0.283015,0.277712,0.339701,0.306035,0.288305,0.3087475,0.0240846142006117,0.3087475,0.0064368839022371,0.5839275,0.00676219664774304,0.36241,0.00659954027499007,,
0.495,0.342354,0.324747,0.373232,0.358656,0.360201,0.317467,0.349641,0.312362,0.307649,0.306258,0.300931,0.36269,0.329618,0.311404,0.332657857142857,0.0245895268539494,0.332657857142857,0.00657182748502543,0.613597571428571,0.00673419587514147,0.359530142857143,0.00665301168008345,,
0.5,0.367018,0.353581,0.401409,0.385504,0.382861,0.343369,0.378837,0.336323,0.333351,0.331834,0.326544,0.38757,0.355175,0.336513,0.3585635,0.0249602691946467,0.3585635,0.00667091254342971,0.6414365,0.00667091254342971,0.3585635,0.00667091254342971,,
0.505,0.393739,0.384745,0.430645,0.414141,0.406942,0.371172,0.409912,0.362234,0.361273,0.359722,0.354512,0.414383,0.382666,0.363548,0.386402428571429,0.0251970537402057,0.386402428571429,0.00673419587514147,0.667342142857143,0.00657182748502543,0.359530142857143,0.00665301168008345,,
0.51,0.422499,0.418031,0.460706,0.444473,0.432438,0.400735,0.442657,0.390055,0.391308,0.389849,0.384744,0.443123,0.412013,0.392384,0.4160725,0.0253018230378457,0.4160725,0.00676219664774304,0.6912525,0.0064368839022371,0.36241,0.00659954027499007,,
0.515,0.45322,0.453166,0.49136,0.476362,0.459316,0.431878,0.47682,0.419715,0.423292,0.422086,0.417091,0.473725,0.443097,0.422863,0.447427928571429,0.0252792435210096,0.447427928571429,0.00675616201803164,0.713143642857143,0.00626584075342897,0.367142142857143,0.0065110013857303,,
0.52,0.485754,0.489813,0.522387,0.509617,0.487508,0.464391,0.512111,0.451099,0.457012,0.456237,0.451343,0.50605,0.47575,0.45479,0.480275857142857,0.0251382618451118,0.480275857142857,0.0067184830802443,0.733022785714286,0.00605870944548585,0.373626535714286,0.00638859626286508,,
0.525,0.519881,0.527581,0.553588,0.543995,0.516906,0.498034,0.548207,0.484043,0.492198,0.492043,0.487226,0.539881,0.509755,0.48794,0.514377,0.0248937778602173,0.514377,0.0066531419868137,0.750908285714286,0.00579821600114366,0.381734357142857,0.00622567899397868,,
0.53,0.555302,0.566034,0.584782,0.579198,0.547354,0.532542,0.584756,0.518332,0.528531,0.529176,0.524405,0.574916,0.544844,0.522055,0.549444785714286,0.0245635684365111,0.549444785714286,0.00656488980614279,0.766891142857143,0.00548350247406213,0.391276821428571,0.00602419614010246,,
0.535,0.591648,0.604709,0.615809,0.614879,0.578654,0.567622,0.621383,0.553693,0.565648,0.567245,0.56249,0.610781,0.580695,0.556854,0.585150714285714,0.02416644139943,0.585150714285714,0.0064587531410155,0.781060928571429,0.0051299468534662,0.402044892857143,0.00579434999724085,,
0.54,0.628486,0.643125,0.64652,0.650648,0.610561,0.602962,0.657701,0.589799,0.603148,0.605803,0.601042,0.647034,0.616942,0.592029,0.621128571428571,0.0237161524013756,0.621128571428571,0.00633840834417598,0.793514,0.00474462698541932,0.413807285714286,0.00554151766479765,,
0.545,0.665336,0.680806,0.676775,0.686084,0.64279,0.638232,0.693316,0.62627,0.6406,0.644364,0.639586,0.683184,0.653183,0.627254,0.656984285714286,0.0232169685771439,0.656984285714286,0.00620499585536922,0.804383428571429,0.00434147871794838,0.426300428571429,0.0052732372866588,,
0.55,0.701692,0.717294,0.706432,0.720756,0.675023,0.673092,0.727844,0.662687,0.677561,0.682417,0.677627,0.71872,0.68899,0.662191,0.692309,0.0226611269052398,0.692309,0.00605644091982945,0.813763214285714,0.00392480543533804,0.439272892857143,0.00499062317758375,,
0.555,0.737045,0.752166,0.735343,0.754235,0.706923,0.707197,0.760919,0.698603,0.713587,0.719451,0.714673,0.753131,0.723927,0.696495,0.7266925,0.0220280729795484,0.7266925,0.00588725014145161,0.821793714285714,0.00350679327301377,0.452449392857143,0.00469702170723269,,
0.56,0.77091,0.785052,0.763347,0.78612,0.738141,0.740204,0.792206,0.733564,0.748251,0.754975,0.750248,0.785936,0.757568,0.729821,0.759738785714286,0.0212904317121333,0.759738785714286,0.00569010722023641,0.8286045,0.00309615230861337,0.465567142857143,0.00439312976442489,,
0.565,0.802849,0.815645,0.790272,0.816051,0.768331,0.771788,0.821418,0.767125,0.781159,0.788544,0.783922,0.816711,0.789517,0.761839,0.791083642857143,0.0204198401847402,0.791083642857143,0.00545743184742688,0.834324357142857,0.00270119651877562,0.478379642857143,0.00407931418310125,,
0.57,0.832492,0.84371,0.815936,0.843732,0.797169,0.80165,0.848322,0.798876,0.811968,0.81978,0.815323,0.845108,0.819425,0.79224,0.820409357142857,0.019394138331771,0.820409357142857,0.00518330149637046,0.839073714285714,0.00232731079642817,0.490667821428571,0.00375530614639931,,
0.575,0.859557,0.869091,0.840155,0.86894,0.824359,0.829527,0.87275,0.828463,0.840397,0.848386,0.844156,0.870873,0.847005,0.820748,0.847457642857143,0.0182045558862743,0.847457642857143,0.00486537221462981,0.842985214285714,0.00198187768437118,0.502236214285714,0.00342362494950049,,
0.58,0.883857,0.891712,0.862756,0.891536,0.849653,0.855207,0.894607,0.855602,0.86624,0.874159,0.870215,0.893851,0.872049,0.847135,0.872041357142857,0.0168576855862297,0.872041357142857,0.00450540598554492,0.846176071428571,0.00166791027858507,0.512932642857143,0.00308665813206499,,
0.585,0.905305,0.911576,0.883584,0.911463,0.872854,0.878534,0.913866,0.880094,0.889372,0.896996,0.893387,0.913988,0.89443,0.871223,0.894048,0.0153767761350581,0.894048,0.00410961628646496,0.848761714285714,0.00138780666318472,0.522643142857143,0.00274871147482484,,
0.59,0.923909,0.928754,0.902517,0.928747,0.893828,0.899416,0.930572,0.901829,0.909751,0.91689,0.913652,0.931328,0.914106,0.8929,0.913442785714286,0.0137986352623872,0.913442785714286,0.00368784039692217,0.8508695,0.00113607663875325,0.531286642857143,0.00241195851783771,,
0.595,0.939766,0.943379,0.919474,0.943487,0.912505,0.917827,0.94483,0.920789,0.927415,0.933925,0.931077,0.945995,0.931116,0.912115,0.930264285714286,0.0121697141261448,0.930264285714286,0.00325249291107263,0.852587357142857,9.22129437215619E-4,0.538838464285714,0.00208731117414412,,
0.6,0.953042,0.955636,0.934424,0.955843,0.92888,0.933806,0.9568,0.937042,0.942469,0.948256,0.945803,0.958179,0.945573,0.928883,0.944616857142857,0.0105404702555812,0.944616857142857,0.00281705917084759,0.854011,7.5507594407363E-4,0.545302928571429,0.00178606755746061,,
0.605,0.963959,0.965741,0.947389,0.966021,0.943009,0.947448,0.966679,0.950727,0.955084,0.960101,0.958031,0.968119,0.957646,0.943281,0.956659642857143,0.00895971210566967,0.956659642857143,0.00239458378453906,0.855245428571429,6.50514409417873E-4,0.550707107142857,0.00152254909697847,,
0.61,0.972774,0.973936,0.958438,0.974259,0.955,0.958902,0.974693,0.962043,0.96547,0.969716,0.968005,0.976081,0.967552,0.955438,0.966593357142857,0.00747118295243739,0.966593357142857,0.00199675763442335,0.856397285714286,6.3751034836308E-4,0.555098035714286,0.00131713399139321,,
0.615,0.979763,0.980472,0.967688,0.980807,0.965006,0.968354,0.98108,0.971229,0.973872,0.977381,0.975997,0.982343,0.975535,0.965527,0.974646714285714,0.00610915797330999,0.974646714285714,0.00163274114698602,0.857583285714286,7.41779020058997E-4,0.558531714285714,0.00118726008352251,,
0.62,0.985203,0.985595,0.975289,0.98592,0.97321,0.976018,0.986082,0.978549,0.980547,0.983379,0.982283,0.987178,0.981852,0.973754,0.981061357142857,0.00489737795791149,0.981061357142857,0.00130887931514596,0.858920714285714,9.66096162873225E-4,0.561070321428571,0.00113748773900959,,
0.625,0.98936,0.989543,0.981419,0.989839,0.97982,0.98212,0.989928,0.984273,0.985753,0.987988,0.987138,0.990842,0.986759,0.980343,0.986080357142857,0.00384772593392996,0.986080357142857,0.00102834801164076,0.860535,0.0013029672982158,0.562772678571429,0.00116565765492828,,
0.63,0.992476,0.992531,0.986268,0.992789,0.985049,0.98689,0.992832,0.988664,0.98974,0.991464,0.990818,0.993568,0.9905,0.985522,0.9899365,0.00296244674733053,0.9899365,7.91747196790981E-4,0.862560428571429,0.0017476791540302,0.563688035714286,0.00126971317541059,,
0.635,0.99477,0.994752,0.990029,0.994968,0.989109,0.990551,0.994984,0.99197,0.992736,0.994036,0.993557,0.995559,0.9933,0.989518,0.992845642857143,0.00223468096525734,0.992845642857143,5.97243610052731E-4,0.8651335,0.00229690145977882,0.563856071428571,0.00144707253491577,,
0.64,0.996426,0.996375,0.992889,0.996548,0.992203,0.993306,0.99655,0.99441,0.994946,0.995905,0.995556,0.996985,0.995356,0.992542,0.994999785714286,0.00165157203334238,0.994999785714286,4.41401192738914E-4,0.868385571428571,0.00294282648148969,0.563307107142857,0.0016921138371143,,
0.645,0.9976,0.997538,0.995021,0.997673,0.994516,0.995342,0.997668,0.996178,0.996545,0.997236,0.996987,0.997989,0.996837,0.994788,0.996565571428572,0.00119544878694064,0.996565571428572,3.19497127440458E-4,0.872433142857143,0.00366972083984411,0.562066214285714,0.00199460898364229,,
0.65,0.998417,0.998356,0.996577,0.998458,0.996211,0.996816,0.998451,0.997433,0.997679,0.998168,0.997994,0.998681,0.997884,0.996422,0.997681928571429,8.47839558868537E-4,0.997681928571429,2.26594653445687E-4,0.877365,0.00445218889985589,0.560158464285714,0.00233939177665079,,
0.655,0.998974,0.998922,0.997691,0.998996,0.99743,0.997863,0.998989,0.998307,0.998469,0.998806,0.998688,0.99915,0.998609,0.997589,0.998463071428571,5.88704374588233E-4,0.998463071428571,1.57337862271728E-4,0.883230428571429,0.00525679254431855,0.557616321428571,0.00270706520329514,,
0.66,0.999346,0.999305,0.998471,0.999358,0.998289,0.998592,0.999352,0.998903,0.999008,0.999236,0.999157,0.999462,0.999102,0.998405,0.998999,4.00414400724659E-4,0.998999,1.07015250017292E-4,0.890026571428571,0.00604471145905525,0.554486214285714,0.00307586335453627,,
0.665,0.999591,0.99956,0.999007,0.999597,0.998882,0.999089,0.999592,0.999303,0.999369,0.99952,0.999468,0.999665,0.999431,0.998965,0.999359928571429,2.66685197387263E-4,0.999359928571429,7.127461705338E-5,0.897689,0.00677650905540766,0.550835464285714,0.00342389183623052,,
0.67,0.999749,0.999727,0.999368,0.999751,0.999283,0.999422,0.999748,0.999565,0.999606,0.999704,0.99967,0.999796,0.999646,0.999341,0.999598285714286,1.73998421111916E-4,0.999598285714286,4.65030341171716E-5,0.906089714285714,0.00741733940438716,0.546754285714286,0.00373192121925216,,
0.675,0.999848,0.999833,0.999605,0.999849,0.99955,0.99964,0.999847,0.999733,0.999759,0.99982,0.999799,0.999877,0.999784,0.999588,0.999752285714286,1.10924387671148E-4,0.999752285714286,2.96457896073662E-5,0.9150385,0.00794204136970665,0.542356892857143,0.00398584357965701,,
0.68,0.99991,0.9999,0.999758,0.99991,0.999722,0.99978,0.999909,0.99984,0.999855,0.999893,0.99988,0.999928,0.99987,0.999748,0.999850214285714,6.94430353947641E-5,0.999850214285714,1.85594318817731E-5,0.924295714285714,0.00833880520563089,0.53777725,0.00417868231875633,,
0.685,0.999948,0.999941,0.999855,0.999948,0.999832,0.999868,0.999947,0.999905,0.999914,0.999938,0.99993,0.999958,0.999924,0.999848,0.999911142857143,4.26449692999277E-5,0.999911142857143,1.13973474564159E-5,0.93359,0.00861090635042701,0.533160571428571,0.00431115184894171,,
0.69,0.99997,0.999966,0.999914,0.99997,0.9999,0.999923,0.999969,0.999945,0.99995,0.999964,0.99996,0.999976,0.999956,0.999911,0.999948142857143,2.54916491389659E-5,0.999948142857143,6.81292980727581E-6,0.942646642857143,0.00877206982329107,0.52865075,0.00438944137654917,,
0.695,0.999983,0.999981,0.999951,0.999983,0.999942,0.999955,0.999983,0.999969,0.999972,0.99998,0.999977,0.999987,0.999975,0.999948,0.999970428571429,1.50573993346958E-5,0.999970428571429,4.0242592461621E-6,0.951347285714286,0.00873782612680591,0.524311571428571,0.00437092519302604,,
0.7,0.999991,0.999989,0.999972,0.999991,0.999967,0.999975,0.99999,0.999983,0.999984,0.999989,0.999987,0.999993,0.999986,0.999971,0.999983428571429,8.58186178217254E-6,0.999983428571429,2.2935990378242E-6,0.959408928571429,0.00856475774466986,0.52028725,0.00428352567185384,,
0.705,0.999995,0.999994,0.999985,0.999995,0.999982,0.999986,0.999995,0.999991,0.999991,0.999994,0.999993,0.999996,0.999992,0.999984,0.999990928571429,4.69802390066264E-6,0.999990928571429,1.25559970222535E-6,0.966688428571429,0.00825346037832863,0.51665125,0.00412735798901543,,
0.71,0.999997,0.999997,0.999992,0.999997,0.99999,0.999992,0.999997,0.999995,0.999995,0.999997,0.999996,0.999998,0.999996,0.999991,0.999995,2.63117405793993E-6,0.999995,7.0321084641278E-7,0.973104857142857,0.00780361819705854,0.513445071428571,0.00390216070395247,,
0.715,0.999999,0.999998,0.999996,0.999999,0.999995,0.999996,0.999999,0.999997,0.999998,0.999998,0.999998,0.999999,0.999998,0.999995,0.9999975,1.4544361847086E-6,0.9999975,3.88714421007589E-7,0.978636857142857,0.00721897100507105,0.510680321428571,0.00360967985974603,,
