,04P,06C,06G,06SoS,06T,08P,08S,10AG,10C,10D,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
,,,,,,,,,,,,,,,,,,SEM,,SEM,,SEM,,
,,,,,,,,,,,,,,,"Statistics On Rows of [SC S(V)]Sheet1!Col(""04P""):Col(""12P"")","Statistics On Rows of [SC S(V)]Sheet1!Col(""04P""):Col(""12P"")",,,,,,,,
0.25,8.64E-4,7.1E-5,1.29E-4,0.001508,8.4E-5,4.02E-4,2.96E-4,4.61E-4,7.82E-4,6.09E-4,1.12E-4,0.024894,0.003297,9.3E-4,0.00245992857142857,0.00651173410041484,0.00245992857142857,0.00174033414268035,0,0,0.501229964285714,8.70167071340177E-4,0.430028285714286,0.160926285714286
0.255,0.001494,1.34E-4,2.4E-4,0.002539,1.58E-4,7.18E-4,5.35E-4,8.19E-4,0.001359,0.00107,2.09E-4,0.03429,0.005317,0.001602,0.003606,0.00893516276809257,0.003606,0.00238802269809008,0,0,0.501803,0.00119401134904504,0.430028285714286,0.490667821428571
0.26,0.002492,2.45E-4,4.32E-4,0.004119,2.88E-4,0.001238,9.34E-4,0.001405,0.002277,0.001813,3.77E-4,0.045344,0.008253,0.002663,0.00513428571428571,0.0117628101262383,0.00513428571428571,0.00314374324271849,0,0,0.502567142857143,0.00157187162135924,,
0.265,0.004011,4.37E-4,7.53E-4,0.006443,5.1E-4,0.002063,0.001576,0.002328,0.003682,0.002966,6.61E-4,0.057675,0.012334,0.004271,0.00712214285714286,0.0148846713503789,0.00712214285714286,0.00397809575056055,0,0,0.503561071428571,0.00198904787528028,,
0.27,0.006233,7.53E-4,0.001271,0.009722,8.74E-4,0.003325,0.002574,0.003728,0.00575,0.004689,0.001122,0.070719,0.017764,0.006612,0.00965257142857143,0.0181452396754389,0.00965257142857143,0.00484951929045639,2.85714285785943E-7,1.25294002764533E-7,0.504826142857143,0.00242482229222958,,
0.275,0.009357,0.001259,0.002078,0.01416,0.001452,0.005181,0.004066,0.005772,0.008676,0.007163,0.001844,0.083799,0.024677,0.009888,0.0128122857142857,0.0213641998551443,0.0128122857142857,0.00570982258575111,5.00000000069889E-7,1.38675049060713E-7,0.506405892857143,0.00285498063040009,,
0.28,0.013577,0.002041,0.003292,0.019925,0.00234,0.00781,0.006218,0.008645,0.012654,0.010583,0.002937,0.096238,0.033099,0.014292,0.0166893571428571,0.0243674389380809,0.0166893571428571,0.00651247199281666,1.35714285709465E-6,1.69262876921836E-7,0.508344,0.00325632062784679,,
0.285,0.019054,0.00321,0.005054,0.027108,0.003656,0.011397,0.009206,0.012531,0.017855,0.015127,0.004537,0.107452,0.042918,0.019979,0.0213631428571429,0.027010916186031,0.0213631428571429,0.00721897100507105,2.50000000001638E-6,3.88714421007589E-7,0.510680321428571,0.00360967985974603,,
