DISTRICT,VPI,TWO-PARTY
CD 1,0.820775,1735516
CD 2,0.834049,1606857
CD 3,0.609468,1270643
CD 4,0.820513,759356
CD 5,0.689237,1372393
CD 6,0.491182,1679917
CD 7,0.884022,1473290
CD 8,0.596857,1082298
CD 9,0.679893,1576720
CD 10,0.608672,1368695
CD 11,0.619245,1293213
CD 12,0.587800,1528404
CD 13,0.578143,1537108
CD 14,0.493874,1524046
CD 15,0.474307,1612895
CD 16,0.516483,1524935
CD 17,0.597688,1432354
CD 18,0.476318,1762461
