DISTRICT,VPI,TWO-PARTY
CD 1,0.251208,164009
CD 2,0.244344,182863
CD 3,0.237580,163252
CD 4,0.225866,166546
CD 5,0.310306,178605
CD 6,0.573870,151291
CD 7,0.355858,168803
