DISTRICT,VPI,TWO-PARTY
CD 1,0.353912,226254
CD 2,0.633165,248608
CD 3,0.465699,170520
CD 4,0.326871,249251
CD 5,0.625360,203123
CD 6,0.601831,156730
CD 7,0.419525,208374
CD 8,0.335448,144842
CD 9,0.486348,147273
CD 10,0.421142,146162
CD 11,0.586144,217119
CD 12,0.787693,212179
CD 13,0.836795,211844
CD 14,0.636637,181177
CD 15,0.581468,176333
CD 16,0.482317,100720
CD 17,0.618487,153067
CD 18,0.589412,228643
CD 19,0.611020,152545
CD 20,0.637869,164935
CD 21,0.433366,81483
CD 22,0.313732,156503
CD 23,0.268380,159725
CD 24,0.454631,205692
CD 25,0.345615,167843
CD 26,0.441336,193195
CD 27,0.486844,177897
CD 28,0.584464,172950
CD 29,0.652291,96943
CD 30,0.513768,188480
CD 31,0.457245,132196
CD 32,0.522194,129199
CD 33,0.488077,243433
CD 34,0.730508,90244
CD 35,0.552271,97684
CD 36,0.422942,151262
CD 37,0.777278,169534
CD 38,0.520517,147976
CD 39,0.343800,176972
CD 40,0.709395,83512
CD 41,0.494607,112837
CD 42,0.325613,148133
CD 43,0.674809,138122
CD 44,0.762534,107725
CD 45,0.313768,213792
CD 46,0.493700,100389
CD 47,0.465528,162594
CD 48,0.319269,217152
CD 49,0.356206,198486
CD 50,0.287644,184850
CD 51,0.595117,97448
CD 52,0.418185,209508
CD 53,0.523957,179450
