DISTRICT,VPI
1,0.716535
2,0.432542
3,0.383401
4,0.744809
5,0.404109
6,0.433536
7,0.395573
8,0.384363
9,0.475194
10,0.397614
11,0.368865
12,0.768633
13,0.473341
