DISTRICT,VPI,TWO-PARTY
CD 1,0.619134,225817
CD 2,0.588261,249325
CD 3,0.594029,238214
CD 4,0.597708,270924
CD 5,0.691357,262014
CD 6,0.598796,284347
CD 7,0.831123,176892
CD 8,0.619331,265334
CD 9,0.580604,283946
