Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000001, 0.000000, -0.000001
0.255000, 0.000003, 0.000000, -0.000001
0.260000, 0.000005, 0.000000, -0.000003
0.265000, 0.000010, 0.000000, -0.000005
0.270000, 0.000020, 0.000000, -0.000010
0.275000, 0.000037, 0.000000, -0.000018
0.280000, 0.000067, 0.000001, -0.000033
0.285000, 0.000118, 0.000001, -0.000059
0.290000, 0.000203, 0.000002, -0.000101
0.295000, 0.000341, 0.000004, -0.000168
0.300000, 0.000557, 0.000007, -0.000275
0.305000, 0.000887, 0.000012, -0.000437
0.310000, 0.001380, 0.000022, -0.000679
0.315000, 0.002093, 0.000039, -0.001027
0.320000, 0.003100, 0.000067, -0.001517
0.325000, 0.004483, 0.000113, -0.002185
0.330000, 0.006331, 0.000189, -0.003071
0.335000, 0.008735, 0.000310, -0.004213
0.340000, 0.011781, 0.000498, -0.005642
0.345000, 0.015539, 0.000787, -0.007376
0.350000, 0.020055, 0.001223, -0.009416
0.355000, 0.025342, 0.001868, -0.011737
0.360000, 0.031376, 0.002804, -0.014286
0.365000, 0.038096, 0.004138, -0.016979
0.370000, 0.045403, 0.006004, -0.019699
0.375000, 0.053171, 0.008304, -0.022433
0.380000, 0.061259, 0.011131, -0.025064
0.385000, 0.069528, 0.014752, -0.027388
0.390000, 0.077856, 0.019331, -0.029263
0.395000, 0.086155, 0.025049, -0.030553
0.400000, 0.094378, 0.032101, -0.031139
0.405000, 0.102533, 0.040688, -0.030923
0.410000, 0.110680, 0.051012, -0.029834
0.415000, 0.118927, 0.063271, -0.027828
0.420000, 0.127425, 0.077642, -0.024891
0.425000, 0.136357, 0.094280, -0.021038
0.430000, 0.145923, 0.113300, -0.016311
0.435000, 0.156333, 0.134771, -0.010781
0.440000, 0.167795, 0.158706, -0.004544
0.445000, 0.180508, 0.185056, +0.002274
0.450000, 0.194657, 0.213704, +0.009524
0.455000, 0.210407, 0.244467, +0.017030
0.460000, 0.227903, 0.277096, +0.024596
0.465000, 0.247265, 0.311284, +0.032009
0.470000, 0.268584, 0.346676, +0.039046
0.475000, 0.291922, 0.382882, +0.045480
0.480000, 0.317301, 0.419491, +0.051095
0.485000, 0.344702, 0.456088, +0.055693
0.490000, 0.374056, 0.492269, +0.059107
0.495000, 0.405242, 0.527659, +0.061209
0.500000, 0.438082, 0.561918, +0.061918
0.505000, 0.472341, 0.594758, +0.061209
0.510000, 0.507731, 0.625944, +0.059107
0.515000, 0.543912, 0.655298, +0.055693
0.520000, 0.580509, 0.682699, +0.051095
0.525000, 0.617118, 0.708078, +0.045480
0.530000, 0.653324, 0.731416, +0.039046
0.535000, 0.688716, 0.752735, +0.032009
0.540000, 0.722904, 0.772097, +0.024596
0.545000, 0.755533, 0.789593, +0.017030
0.550000, 0.786296, 0.805343, +0.009524
0.555000, 0.814944, 0.819492, +0.002274
0.560000, 0.841294, 0.832205, -0.004544
0.565000, 0.865229, 0.843667, -0.010781
0.570000, 0.886700, 0.854077, -0.016311
0.575000, 0.905720, 0.863643, -0.021038
0.580000, 0.922358, 0.872575, -0.024891
0.585000, 0.936729, 0.881073, -0.027828
0.590000, 0.948988, 0.889320, -0.029834
0.595000, 0.959312, 0.897467, -0.030923
0.600000, 0.967899, 0.905622, -0.031139
0.605000, 0.974951, 0.913845, -0.030553
0.610000, 0.980669, 0.922144, -0.029263
0.615000, 0.985248, 0.930472, -0.027388
0.620000, 0.988869, 0.938741, -0.025064
0.625000, 0.991696, 0.946829, -0.022433
0.630000, 0.993996, 0.954597, -0.019699
0.635000, 0.995862, 0.961904, -0.016979
0.640000, 0.997196, 0.968624, -0.014286
0.645000, 0.998132, 0.974658, -0.011737
0.650000, 0.998777, 0.979945, -0.009416
0.655000, 0.999213, 0.984461, -0.007376
0.660000, 0.999502, 0.988219, -0.005642
0.665000, 0.999690, 0.991265, -0.004213
0.670000, 0.999811, 0.993669, -0.003071
0.675000, 0.999887, 0.995517, -0.002185
0.680000, 0.999933, 0.996900, -0.001517
0.685000, 0.999961, 0.997907, -0.001027
0.690000, 0.999978, 0.998620, -0.000679
0.695000, 0.999988, 0.999113, -0.000437
0.700000, 0.999993, 0.999443, -0.000275
0.705000, 0.999996, 0.999659, -0.000168
0.710000, 0.999998, 0.999797, -0.000101
0.715000, 0.999999, 0.999882, -0.000059
0.720000, 0.999999, 0.999933, -0.000033
0.725000, 1.000000, 0.999963, -0.000018
0.730000, 1.000000, 0.999980, -0.000010
0.735000, 1.000000, 0.999990, -0.000005
0.740000, 1.000000, 0.999995, -0.000003
0.745000, 1.000000, 0.999997, -0.000001
0.750000, 1.000000, 0.999999, -0.000001
