DISTRICT,VPI
CD 1,0.423500
CD 2,0.428588
CD 3,0.433880
CD 4,0.443866
CD 5,0.454505
CD 6,0.456985
CD 7,0.458005
CD 8,0.458134
CD 9,0.463947
CD 10,0.473144
CD 11,0.718314
CD 12,0.736620
CD 13,0.775817
