,04P,08A,08AG,08G,08P,08S,08SoS,08T,10S,12A,12D,12G,12P,12Sos,12T,Mean,sem
0.0384615384615385,0.357587,0.443786,0.503841,0.325481,0.454331,0.477587,0.465653,0.430105,0.363253,0.447562,0.419359,0.309998,0.437143,0.454121,0.462692,0.423499933333333,0.0148457504362012
0.115384615384615,0.358925,0.465702,0.513197,0.465767,0.410056,0.470479,0.479776,0.466232,0.373815,0.424685,0.406035,0.35121,0.383201,0.43113,0.428605,0.428587666666667,0.0124373986568416
0.192307692307692,0.345645,0.467237,0.526859,0.454235,0.424909,0.476033,0.486659,0.463823,0.351331,0.437885,0.414293,0.348947,0.402577,0.451456,0.456316,0.433880333333333,0.0137523843202575
0.269230769230769,0.36007,0.47704,0.530877,0.425339,0.424235,0.485395,0.498173,0.478229,0.383007,0.448522,0.432188,0.370455,0.412898,0.462401,0.469165,0.443866266666667,0.0126246541174559
0.346153846153846,0.37108,0.479555,0.563546,0.476153,0.437156,0.499021,0.508274,0.475975,0.36535,0.465671,0.432641,0.373599,0.415879,0.476295,0.477381,0.454505066666667,0.014337385245596
0.423076923076923,0.368211,0.501325,0.555517,0.441908,0.420377,0.481561,0.519494,0.497493,0.381559,0.475782,0.451919,0.362106,0.412669,0.485069,0.499787,0.456985133333333,0.0149490971238325
0.5,0.361209,0.467305,0.576632,0.46695,0.437574,0.48473,0.520862,0.475492,0.378155,0.485993,0.442778,0.384935,0.426014,0.482006,0.479444,0.458005266666667,0.0144397471698176
0.576923076923077,0.380441,0.484398,0.587822,0.500415,0.419007,0.498649,0.534512,0.483846,0.37141,0.465494,0.437128,0.373792,0.402886,0.474314,0.457893,0.4581338,0.0159529057201561
0.653846153846154,0.382004,0.501079,0.571344,0.550301,0.433358,0.475413,0.524263,0.496883,0.373967,0.467481,0.44389,0.391732,0.420589,0.468548,0.458346,0.463946533333333,0.0152023120452956
0.730769230769231,0.373559,0.450511,0.619726,0.45543,0.453877,0.479839,0.534158,0.470857,0.395108,0.548103,0.463854,0.393437,0.448973,0.5035,0.506221,0.473143533333333,0.0164926048567422
0.807692307692308,0.617403,0.704981,0.78418,0.697947,0.727255,0.728804,0.750299,0.721662,0.684858,0.753963,0.716801,0.676806,0.718545,0.747737,0.743471,0.718314133333333,0.0102241948509949
0.884615384615385,0.645559,0.751294,0.817114,0.752868,0.709293,0.729134,0.781173,0.744237,0.675004,0.763554,0.741417,0.702352,0.716216,0.761626,0.758457,0.736619866666667,0.0109835946552625
0.961538461538462,0.694491,0.790607,0.805845,0.747827,0.785189,0.79659,0.799334,0.788886,0.732954,0.7938,0.780069,0.726609,0.794254,0.799329,0.801472,0.775817066666667,0.00870468707539995
1.03846153846154,,,,,,,,,,,,,,,,,
1.11538461538462,,,,,,,,,,,,,,,,,
1.19230769230769,,,,,,,,,,,,,,,,,
1.26923076923077,,,,,,,,,,,,,,,,,
1.34615384615385,,,,,,,,,,,,,,,,,
1.42307692307692,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,
1.57692307692308,,,,,,,,,,,,,,,,,
1.65384615384615,,,,,,,,,,,,,,,,,
1.73076923076923,,,,,,,,,,,,,,,,,
1.80769230769231,,,,,,,,,,,,,,,,,
1.88461538461538,,,,,,,,,,,,,,,,,
1.96153846153846,,,,,,,,,,,,,,,,,
2.03846153846154,,,,,,,,,,,,,,,,,
2.11538461538462,,,,,,,,,,,,,,,,,
2.19230769230769,,,,,,,,,,,,,,,,,
2.26923076923077,,,,,,,,,,,,,,,,,
2.34615384615385,,,,,,,,,,,,,,,,,
2.42307692307692,,,,,,,,,,,,,,,,,
