,04P,08A,08AG,08G,08P,08S,08SoS,08T,10S,12A,12D,12G,12P,12Sos,12T,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,,,,,mean,sem,,
,,,,,,,,,,,,,,,,"Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")","Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")",,,,,,
0.32,0.101003,0.028789,0.005787,0.032179,0.063082,0.022945,0.015518,0.027396,0.13015,0.036977,0.060125,0.133451,0.085178,0.036566,0.035499,0.0543096666666667,0.0404761848175066,0.0543096666666667,0.0104509059810811,0.00102919999999995,4.60497476338671E-4,0.526640233333333,0.0109114034574198
0.325,0.11579,0.037088,0.008367,0.04167,0.076075,0.029921,0.021179,0.035596,0.146061,0.047605,0.07356,0.149765,0.099254,0.046887,0.045463,0.0649520666666667,0.0441290998232405,0.0649520666666667,0.0113940845799023,0.00152619999999992,6.21115971074491E-4,0.531712933333333,0.0120152005509768
0.33,0.130487,0.046706,0.011818,0.052679,0.089939,0.038171,0.028221,0.045212,0.161034,0.059835,0.088041,0.164912,0.113696,0.058733,0.056907,0.0764260666666667,0.0470331248657592,0.0764260666666667,0.0121439006216786,0.0022300666666667,8.1759767418052E-4,0.537098,0.0129614982958591
0.335,0.144754,0.057557,0.016312,0.065076,0.104369,0.047688,0.036737,0.05619,0.174693,0.073488,0.103208,0.178516,0.128184,0.071942,0.069684,0.0885598666666667,0.049062158743296,0.0885598666666667,0.012667794916118,0.00321339999999992,0.0010516586391664,0.542673233333333,0.0137194535552844
0.34,0.158279,0.069486,0.022009,0.078637,0.119028,0.058404,0.04675,0.068395,0.186774,0.088279,0.118651,0.190337,0.142397,0.086253,0.083561,0.101149333333333,0.0501468589896098,0.101149333333333,0.0129478633154247,0.00456973333333333,0.00132338327049835,0.5482898,0.014271246585923
0.345,0.170802,0.082273,0.029044,0.093054,0.133566,0.07019,0.0582,0.081621,0.197127,0.103828,0.133943,0.20028,0.156021,0.101322,0.098223,0.113966266666667,0.0502738449671492,0.113966266666667,0.0129806509538388,0.00641593333333335,0.00163192442771648,0.553775166666667,0.0146125753815553
0.35,0.182122,0.095652,0.037503,0.10796,0.147646,0.082865,0.070937,0.095592,0.205722,0.119697,0.148678,0.208375,0.168773,0.116748,0.113304,0.1267716,0.0494803300915771,0.1267716,0.0127757662939683,0.0088971333333332,0.00197583178594464,0.558937233333333,0.0147515980799129
0.355,0.192107,0.109329,0.047411,0.122961,0.160958,0.096197,0.084724,0.10999,0.21263,0.13542,0.162496,0.214759,0.180413,0.132103,0.128404,0.1393268,0.0478443837563885,0.1393268,0.0123533667665366,0.0121884000000001,0.00235416211117975,0.5635692,0.0147075288777164
0.36,0.200696,0.123004,0.058716,0.137665,0.173244,0.109922,0.09925,0.12447,0.218002,0.150548,0.17511,0.219633,0.190764,0.146971,0.143129,0.151408266666667,0.0454735734739996,0.151408266666667,0.0117412261838226,0.0164953333333333,0.00276744282629748,0.567456466666667,0.0145086690101201
0.365,0.207896,0.136387,0.071283,0.151722,0.184307,0.123751,0.114149,0.138685,0.222044,0.164684,0.186321,0.223238,0.199722,0.160974,0.157114,0.162818466666667,0.0424966315906612,0.162818466666667,0.0109725830947028,0.0220536666666667,0.0032182542171726,0.5703824,0.0141908373118755
