DISTRICT,VPI,TWO-PARTY
CD 1,0.442891,233231
CD 2,0.716004,251852
CD 3,0.563701,172737
CD 4,0.447253,256904
CD 5,0.713140,207439
CD 6,0.718197,158554
CD 7,0.555602,210901
CD 8,0.455978,147325
CD 9,0.589560,150916
CD 10,0.523570,149174
CD 11,0.691543,217661
CD 12,0.860427,207977
CD 13,0.897087,211392
CD 14,0.751017,182916
CD 15,0.682350,179383
CD 16,0.595667,102873
CD 17,0.709568,155334
CD 18,0.683463,230763
CD 19,0.702003,155079
CD 20,0.717805,169801
CD 21,0.561913,83424
CD 22,0.431695,159541
CD 23,0.405643,161795
CD 24,0.559933,210970
CD 25,0.477416,167351
CD 26,0.560084,194985
CD 27,0.633850,176996
CD 28,0.703410,171648
CD 29,0.761858,97551
CD 30,0.660942,188322
CD 31,0.584610,133554
CD 32,0.662413,129940
CD 33,0.623768,242236
CD 34,0.830321,90229
CD 35,0.668892,99016
CD 36,0.529119,153678
CD 37,0.860589,168078
CD 38,0.654928,149134
CD 39,0.463186,178354
CD 40,0.805407,84448
CD 41,0.608657,114843
CD 42,0.432925,150839
CD 43,0.766719,138524
CD 44,0.841862,109196
CD 45,0.403411,216164
CD 46,0.588672,102451
CD 47,0.588419,163987
CD 48,0.417884,219032
CD 49,0.440480,200679
CD 50,0.385458,188599
CD 51,0.677042,99759
CD 52,0.514825,213290
CD 53,0.616090,183564
