DISTRICT,VPI,TWO-PARTY
CD 1,0.302203,248297
CD 2,0.322600,217204
CD 3,0.288426,222563
CD 4,0.309957,242663
CD 5,0.343775,211176
CD 6,0.344947,229583
CD 7,0.341701,220661
CD 8,0.246503,203973
CD 9,0.685757,166912
CD 10,0.380421,227209
CD 11,0.218366,237922
CD 12,0.319226,223738
CD 13,0.217281,244982
CD 14,0.432390,245540
CD 15,0.464571,127623
CD 16,0.554176,154911
CD 17,0.367167,222700
CD 18,0.702387,175520
CD 19,0.230790,233121
CD 20,0.502338,179212
CD 21,0.370548,281413
CD 22,0.329330,190687
CD 23,0.415214,171969
CD 24,0.328280,237358
CD 25,0.382393,243828
CD 26,0.277606,208360
CD 27,0.368897,225941
CD 28,0.474882,145215
CD 29,0.562338,110711
CD 30,0.702332,193820
CD 31,0.338437,201630
CD 32,0.376820,250350
CD 33,0.615197,125750
CD 34,0.486665,142141
CD 35,0.566533,157590
CD 36,0.321859,236942
