DISTRICT,VPI,TWO-PARTY
CD 1,0.390141,181821
CD 2,0.412547,203796
CD 3,0.372508,176250
CD 4,0.367819,182402
CD 5,0.441877,192505
CD 6,0.705980,187994
CD 7,0.462976,180560
