DISTRICT,VPI,TWO-PARTY
CD 1,0.411616,238947
CD 2,0.616020,206711
CD 3,0.603611,225548
CD 4,0.732665,184182
CD 5,0.649456,202936
CD 6,0.557458,197810
CD 7,0.713076,209241
CD 8,0.638171,243516
