DISTRICT,VPI,TWO-PARTY
CD 1,0.305683,249196
CD 2,0.376655,234581
CD 3,0.348031,253015
CD 4,0.313527,248119
CD 5,0.382413,214734
CD 6,0.425639,250360
CD 7,0.396024,230448
CD 8,0.273586,226229
CD 9,0.768902,183377
CD 10,0.417112,253143
CD 11,0.233400,232241
CD 12,0.357501,243974
CD 13,0.223972,235190
CD 14,0.444065,233306
CD 15,0.593294,138958
CD 16,0.662079,160067
CD 17,0.394502,223563
CD 18,0.776510,190680
CD 19,0.263862,226380
CD 20,0.602279,187413
CD 21,0.403912,299412
CD 22,0.391946,226557
CD 23,0.511738,183334
CD 24,0.384942,249217
CD 25,0.413677,262055
CD 26,0.330828,248655
CD 27,0.420801,216202
CD 28,0.617979,151573
CD 29,0.694252,109299
CD 30,0.780959,215750
CD 31,0.392731,229014
CD 32,0.410869,255512
CD 33,0.703745,126607
CD 34,0.628325,142692
CD 35,0.640324,167142
CD 36,0.331081,228077
