,04P,06AG,06C,06G,06SoS,06T,08-10D,08P,08S,10AG,10C,10G,20S,20SoS,10T,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.25,1.81E-4,0,3E-6,1.13E-4,4E-6,7.7E-5,8E-6,1.2E-5,1E-6,2E-6,0.004118,0.00132,0.001674,0,0.002212,6.5E-5,6.11875E-4,0.00116793863280568,6.11875E-4,2.9198465820142E-4,1.16999999999923E-4,3.43893152010923E-5,0.5002474375,1.63186986701256E-4
0.255,3.26E-4,0,6E-6,2.09E-4,8E-6,1.43E-4,1.6E-5,2.4E-5,1E-6,4E-6,0.006366,0.002196,0.002747,1E-6,0.003555,1.22E-4,9.8275E-4,0.00183058979566696,9.8275E-4,4.5764744891674E-4,1.99812500000007E-4,5.3785547838148E-5,0.50039146875,2.55716498377444E-4
0.26,5.67E-4,1E-6,1.1E-5,3.75E-4,1.5E-5,2.6E-4,3E-5,4.6E-5,3E-6,8E-6,0.009493,0.003527,0.004351,1E-6,0.005514,2.23E-4,0.0015265625,0.00277114616404476,0.0015265625,6.92786541011191E-4,3.32999999999917E-4,8.35578143163937E-5,0.50059678125,3.88172177663792E-4
0.265,9.55E-4,1E-6,2.2E-5,6.5E-4,2.9E-5,4.58E-4,5.7E-5,8.5E-5,5E-6,1.6E-5,0.013673,0.005475,0.00666,3E-6,0.008262,3.94E-4,0.0022965625,0.00405682325584523,0.0022965625,0.00101420581396131,5.44875E-4,1.30321361609166E-4,0.50087584375,5.72263587785237E-4
0.27,0.001558,3E-6,4.1E-5,0.001095,5.4E-5,7.82E-4,1.04E-4,1.51E-4,1E-5,3.1E-5,0.019057,0.008221,0.009862,5E-6,0.011978,6.75E-4,0.0033516875,0.00575312969572504,0.0033516875,0.00143828242393126,8.73250000000048E-4,2.01284883105181E-4,0.50123921875,8.19783653518221E-4
0.275,0.002464,6E-6,7.5E-5,0.001788,9.8E-5,0.001296,1.85E-4,2.63E-4,1.9E-5,5.7E-5,0.025751,0.01196,0.014147,1E-5,0.016828,0.001122,0.0047543125,0.00791685166985589,0.0047543125,0.00197921291746397,0.00136787499999991,3.05102494731964E-4,0.50169321875,0.00114215770609797
0.28,0.00378,1.1E-5,1.33E-4,0.002834,1.74E-4,0.002084,3.2E-4,4.45E-4,3.4E-5,1.03E-4,0.0338,0.016876,0.019687,1.9E-5,0.022949,0.001811,0.00656625,0.010589073270751,0.00656625,0.00264726831768775,0.00208337500000011,4.50505770172075E-4,0.5022414375,0.00154888704392991
0.285,0.00563,2E-5,2.32E-4,0.004361,3E-4,0.003255,5.4E-4,7.32E-4,6.2E-5,1.81E-4,0.043185,0.023129,0.026616,3.5E-5,0.030432,0.00284,0.008846875,0.0137901489326016,0.008846875,0.0034475372331504,0.00306387499999994,6.44846085479577E-4,0.5028915,0.00204619165931499
0.29,0.00815,3.6E-5,3.94E-4,0.006523,5.04E-4,0.004941,8.87E-4,0.001171,1.09E-4,3.09E-4,0.053816,0.030834,0.035014,6.2E-5,0.039313,0.00433,0.0116495625,0.0175153396540242,0.0116495625,0.00437883491350606,0.00441618750000017,9.02915302500511E-4,0.5036166875,0.00264087510800328
