,04P,06AG,06C,06G,06SoS,06T,08-10D,08P,08S,10AG,10C,10G,20S,20SoS,10T,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
0.295,0.011479,6.5E-5,6.52E-4,0.009486,8.26E-4,0.007296,0.001419,0.001824,1.87E-4,5.15E-4,0.065543,0.040041,0.04489,1.08E-4,0.049562,0.006423,0.01501975,0.0217319832121538,0.01501975,0.00543299580303844,0.00623624999999983,0.00123445874610427,0.50439175,0.00333372727457136
0.3,0.015751,1.12E-4,0.001054,0.013425,0.001321,0.010484,0.002213,0.002768,3.15E-4,8.38E-4,0.078166,0.050724,0.056173,1.85E-4,0.061082,0.009276,0.0189929375,0.0263794162595732,0.0189929375,0.00659485406489329,0.00853037499999998,0.0016335273053401,0.50523128125,0.0041141906851167
0.305,0.021081,1.91E-4,0.001661,0.018507,0.002059,0.014675,0.003365,0.004096,5.17E-4,0.00133,0.091439,0.062776,0.068713,3.09E-4,0.073711,0.013051,0.0235925625,0.0313696557540749,0.0235925625,0.00784241393851873,0.0114230625,0.00210722479909151,0.50608475,0.00497481936880512
0.31,0.027558,3.17E-4,0.002555,0.024872,0.003133,0.020023,0.004992,0.005913,8.3E-4,0.002061,0.10509,0.076006,0.082282,5.05E-4,0.087227,0.017906,0.028829375,0.0365902500472006,0.028829375,0.00914756251180016,0.015028625,0.00265618532215375,0.506900375,0.00590187391697695
0.315,0.035233,5.16E-4,0.003837,0.032615,0.004653,0.026655,0.007227,0.008334,0.001303,0.003119,0.118826,0.090145,0.096587,8.07E-4,0.101353,0.023975,0.0346990625,0.0419075276984438,0.0346990625,0.0104768819246109,0.0194381875000001,0.00327406148539642,0.5076304375,0.00687547170500369
0.32,0.044115,8.22E-4,0.00563,0.041773,0.00675,0.034649,0.010218,0.011478,0.001998,0.004612,0.132351,0.104866,0.111285,0.001263,0.11577,0.031359,0.0411836875,0.0471728545312785,0.0411836875,0.0117932136328196,0.0247348749999999,0.00395090384477084,0.50822440625,0.00787205873879524
0.325,0.054167,0.00128,0.008071,0.052309,0.009568,0.044023,0.014116,0.01546,0.002997,0.006665,0.145378,0.119799,0.126006,0.001932,0.130133,0.040105,0.0482505625,0.0522297944395326,0.0482505625,0.0130574486098832,0.030991875,0.00467417608503983,0.50862934375,0.0088658123474615
0.33,0.065303,0.001953,0.011311,0.064105,0.013259,0.054725,0.019066,0.020386,0.004399,0.009418,0.157647,0.13456,0.140377,0.002892,0.144091,0.050199,0.0558556875,0.0569215427370209,0.0558556875,0.0142303856842552,0.0380898125000001,0.00536133062092079,0.5088829375,0.00979585815258801
0.335,0.077388,0.002917,0.015504,0.076969,0.01797,0.066624,0.025193,0.026342,0.006318,0.013017,0.168942,0.148779,0.15405,0.004239,0.157315,0.061558,0.0639453125,0.0611015269178752,0.0639453125,0.0152753817294688,0.0457183749999999,0.00587253919234474,0.50911346875,0.0105739604609068
0.34,0.090242,0.004269,0.020795,0.090639,0.023835,0.079517,0.032589,0.033388,0.008883,0.01761,0.179102,0.16213,0.166728,0.006085,0.169522,0.074031,0.0724603125,0.0646404665801217,0.0724603125,0.0161601166450304,0.0543716875,0.00640610351326423,0.5090443125,0.0112831100791473
0.345,0.103646,0.006121,0.027309,0.104803,0.030957,0.09314,0.041298,0.041553,0.012234,0.023327,0.18803,0.17436,0.178193,0.008555,0.180498,0.087403,0.0813391875,0.0674355116193427,0.0813391875,0.0168588779048357,0.064021875,0.00694725072893047,0.50865865625,0.0119030643168831
0.35,0.117349,0.008602,0.035134,0.11912,0.039396,0.107185,0.051308,0.050829,0.016508,0.030274,0.195698,0.185305,0.188314,0.011786,0.19012,0.101411,0.0905211875,0.0694145578422075,0.0905211875,0.0173536394605519,0.074307375,0.00736713199333985,0.50810690625,0.0123603857269459
0.355,0.131081,0.011853,0.04431,0.133249,0.049159,0.12132,0.062541,0.061172,0.021836,0.038517,0.20214,0.194906,0.197061,0.015917,0.198358,0.115762,0.099948875,0.0705388386804272,0.099948875,0.0176347096701068,0.0855502500000001,0.007811589062359,0.5071993125,0.0127231493662329
0.36,0.14457,0.016019,0.054816,0.146869,0.060189,0.135217,0.074857,0.072501,0.028329,0.048071,0.207446,0.203203,0.204497,0.021081,0.205274,0.130152,0.1095681875,0.0708024247713017,0.1095681875,0.0177006061928254,0.0976925624999999,0.00828029766623195,0.5059378125,0.0129904519295287
0.365,0.157563,0.021242,0.066569,0.159712,0.072367,0.148574,0.088055,0.084697,0.036065,0.058894,0.211744,0.210327,0.210765,0.027393,0.211011,0.144292,0.119329375,0.0702298143790561,0.119329375,0.017557453594764,0.1106535625,0.00876645956091015,0.50433790625,0.0131619565778371
0.37,0.169846,0.027651,0.079424,0.171574,0.085513,0.161139,0.101888,0.097612,0.045082,0.070881,0.215195,0.216479,0.216068,0.034942,0.215766,0.157933,0.1291870625,0.0688716129489925,0.1291870625,0.0172179032372481,0.124335375,0.00925698268735328,0.50242584375,0.0132374429623007
0.375,0.181262,0.035352,0.093176,0.182333,0.0994,0.172725,0.116079,0.111075,0.055368,0.08387,0.217972,0.221904,0.220647,0.043776,0.219775,0.17088,0.139099625,0.0668007900331276,0.139099625,0.0167001975082819,0.138247375,0.00963541825241429,0.500426125,0.0131678078803481
0.38,0.191724,0.044413,0.107581,0.19195,0.113768,0.183222,0.130344,0.124899,0.066858,0.097654,0.220254,0.226866,0.224756,0.053899,0.223286,0.183007,0.1490300625,0.0641079141889868,0.1490300625,0.0160269785472467,0.15222575,0.00988451297674802,0.49840215625,0.0129557457619974
0.385,0.201223,0.054862,0.122373,0.200468,0.12835,0.1926,0.14441,0.138894,0.079437,0.111988,0.222219,0.231621,0.22864,0.065262,0.226543,0.194267,0.1589473125,0.0608973482966418,0.1589473125,0.0152243370741604,0.1666349375,0.0101163557941537,0.4961561875,0.0126703464341571
0.39,0.209821,0.066677,0.137284,0.208005,0.142889,0.200904,0.158045,0.152879,0.092944,0.126618,0.224034,0.236402,0.232525,0.077766,0.22977,0.204686,0.1688280625,0.0572833844152255,0.1688280625,0.0143208461038064,0.1813835,0.0103174024920681,0.49372228125,0.0123191242979372
0.395,0.217645,0.07979,0.152066,0.214738,0.157162,0.208251,0.171065,0.166693,0.107185,0.141295,0.225854,0.241402,0.2366,0.091269,0.23316,0.214358,0.1786583125,0.0533854743873509,0.1786583125,0.0133463685968377,0.1963914375,0.0104750952107721,0.4911334375,0.0119107319038049
0.4,0.224869,0.094085,0.166516,0.220885,0.171001,0.21481,0.183358,0.180212,0.121949,0.155799,0.227823,0.246768,0.241014,0.105593,0.236876,0.223428,0.188436625,0.0493246533177545,0.188436625,0.0123311633294386,0.211596,0.0105794880629925,0.4884203125,0.0114553256962155
0.405,0.23169,0.109411,0.180484,0.226689,0.184303,0.220789,0.194882,0.193352,0.137027,0.169956,0.23007,0.252598,0.245875,0.12054,0.241042,0.232076,0.198174,0.0452180920089883,0.198174,0.0113045230022471,0.226955625,0.010623786416918,0.4856091875,0.0109641547095825
0.41,0.238313,0.125595,0.193889,0.232402,0.197036,0.226419,0.205666,0.206078,0.152225,0.183651,0.232712,0.258944,0.251248,0.13591,0.245749,0.240499,0.207896,0.0411749968403156,0.207896,0.0102937492100789,0.2424508125,0.01060475206343,0.48272259375,0.0104492506367545
0.415,0.244932,0.142452,0.206714,0.238267,0.20924,0.231938,0.215805,0.218403,0.167389,0.196832,0.235851,0.26582,0.25716,0.151518,0.251054,0.248892,0.2176416875,0.0372917348621537,0.2176416875,0.00932293371553841,0.258043,0.0105072107998111,0.47979934375,0.00991507225767475
0.42,0.251714,0.15981,0.219008,0.244509,0.221018,0.237578,0.225447,0.230384,0.18241,0.209515,0.239579,0.273204,0.263604,0.16721,0.256984,0.257433,0.2274629375,0.0336459671470817,0.2274629375,0.00841149178677042,0.273592,0.0102802989580394,0.47693546875,0.00934589537240493
0.425,0.258795,0.177514,0.230868,0.251323,0.232524,0.243551,0.234773,0.242114,0.197236,0.221773,0.243972,0.281055,0.270547,0.182877,0.26354,0.266275,0.2374210625,0.0302942993261521,0.2374210625,0.00757357483153803,0.289382,0.0100219006651267,0.47401953125,0.00879773774833236
0.43,0.266274,0.195446,0.242434,0.258872,0.243944,0.250048,0.243987,0.253711,0.21187,0.233728,0.249092,0.289319,0.277937,0.19846,0.270701,0.27554,0.2475851875,0.0272682922462916,0.2475851875,0.0068170730615729,0.3054585625,0.0097387295235607,0.4710633125,0.0082779012925668
0.435,0.274218,0.213528,0.253863,0.267282,0.255482,0.257228,0.253293,0.265304,0.226373,0.245533,0.254986,0.297937,0.285712,0.213956,0.278434,0.285317,0.258027875,0.0245734515955058,0.258027875,0.00614336289887645,0.3218003125,0.00942305215138154,0.46811378125,0.007783207525129
0.44,0.282666,0.231723,0.265325,0.27664,0.267341,0.265217,0.262889,0.277022,0.240847,0.25736,0.261347,0.30686,0.293807,0.22941,0.286695,0.295664,0.2688008125,0.0222009026279526,0.2688008125,0.00555022565698815,0.3384069375,0.009075324918641,0.4651969375,0.00731277528781458
0.445,0.291638,0.250037,0.276978,0.286997,0.279705,0.274111,0.272949,0.288988,0.255429,0.269384,0.268237,0.316048,0.302164,0.24491,0.295436,0.306617,0.27997675,0.0201330906701712,0.27997675,0.00503327266754279,0.355318,0.00870702294080283,0.462329375,0.00687014780417281
0.45,0.301142,0.268506,0.288969,0.298369,0.292733,0.283973,0.28362,0.301304,0.270275,0.281765,0.275964,0.325482,0.310736,0.260575,0.304617,0.318188,0.291638625,0.0183365963940058,0.291638625,0.00458414909850145,0.3725928125,0.00833787315317819,0.45952290625,0.00646101112583982
0.455,0.311181,0.28719,0.30142,0.31074,0.306544,0.294836,0.295021,0.314054,0.285545,0.294645,0.284574,0.335157,0.319495,0.276537,0.314203,0.330378,0.303845,0.0167897613880206,0.303845,0.00419744034700515,0.390220875,0.00796710549063826,0.4568120625,0.00608227291882171
0.46,0.321763,0.306161,0.314428,0.324066,0.321219,0.306706,0.307238,0.327298,0.301387,0.308137,0.294111,0.34509,0.328431,0.292932,0.324172,0.343175,0.316644625,0.0154953377197788,0.316644625,0.0038738344299447,0.408264375,0.00761370040556003,0.454190125,0.00574376741775237
0.465,0.332899,0.325487,0.328067,0.338279,0.336793,0.319568,0.320329,0.341074,0.317929,0.322322,0.304612,0.355309,0.337556,0.309885,0.334518,0.356558,0.3300740625,0.0144897617301263,0.3300740625,0.00362244043253158,0.4266701875,0.00727288971181031,0.4517019375,0.00544766507217095
0.47,0.344611,0.345229,0.342382,0.35329,0.353262,0.33338,0.334326,0.355399,0.335267,0.337251,0.316111,0.365851,0.3469,0.327498,0.345248,0.370498,0.3441564375,0.0138419918314706,0.3441564375,0.00346049795786766,0.44536525,0.00693810600686527,0.44939559375,0.00519930198236646
0.475,0.356924,0.365427,0.357401,0.368996,0.370585,0.348088,0.349236,0.370273,0.353461,0.352943,0.328635,0.376752,0.356506,0.345845,0.356379,0.384957,0.3589005,0.0136334851548189,0.3589005,0.00340837128870472,0.464261125,0.00660162060082914,0.4473196875,0.00500499594476693
0.48,0.369866,0.3861,0.373127,0.38528,0.388684,0.363617,0.365045,0.385678,0.37253,0.369392,0.342201,0.388044,0.366427,0.364966,0.3679,0.399885,0.374296375,0.0139238427161231,0.374296375,0.00348096067903077,0.483255375,0.00625594373900734,0.4455205,0.00486845220901905
0.485,0.383463,0.407238,0.38955,0.402016,0.407455,0.37988,0.381719,0.401582,0.39245,0.386569,0.356815,0.399746,0.376715,0.384869,0.380237,0.415221,0.3903453125,0.0146983115253363,0.3903453125,0.00367457788133407,0.502237375,0.00589527941723645,0.44405396875,0.00478492864928526
0.49,0.397731,0.428811,0.40664,0.419075,0.426774,0.396778,0.399204,0.417942,0.413162,0.404427,0.372469,0.41186,0.387421,0.405529,0.393526,0.430888,0.4070148125,0.0158784079227894,0.4070148125,0.00396960198069734,0.5210915,0.00551699017958766,0.44296165625,0.0047432960801425
0.495,0.412671,0.450762,0.424354,0.436323,0.446496,0.414201,0.417429,0.434702,0.434569,0.422903,0.389137,0.424365,0.399053,0.426893,0.407781,0.446797,0.42427725,0.0173148385361612,0.42427725,0.0043287096340403,0.539703875,0.00512317356143875,0.4422866875,0.00472594159773953
0.5,0.428265,0.47302,0.442631,0.453628,0.466471,0.43203,0.436302,0.451797,0.456546,0.441926,0.406776,0.437219,0.411769,0.448885,0.422986,0.462845,0.4420685,0.01887793382762,0.4420685,0.004719483456905,0.5579315,0.004719483456905,0.4420685,0.004719483456905
0.505,0.444467,0.4955,0.461395,0.470862,0.486543,0.450142,0.455714,0.469154,0.478945,0.461412,0.425324,0.450418,0.425432,0.471413,0.439096,0.478921,0.460296125,0.020492694245755,0.460296125,0.00512317356143875,0.57572275,0.0043287096340403,0.4422866875,0.00472594159773953
0.51,0.461208,0.518109,0.480555,0.487901,0.506557,0.468406,0.475539,0.486695,0.5016,0.481276,0.444702,0.464654,0.440019,0.494371,0.456033,0.494911,0.4789085,0.0220679607183506,0.4789085,0.00551699017958766,0.5929851875,0.00396960198069734,0.44296165625,0.0047432960801425
0.515,0.478388,0.540752,0.500008,0.504631,0.526367,0.486692,0.495636,0.504336,0.524341,0.501424,0.464812,0.479302,0.455478,0.517648,0.473686,0.510701,0.497762625,0.0235811176689458,0.497762625,0.00589527941723645,0.6096546875,0.00367457788133407,0.44405396875,0.00478492864928526
0.52,0.495888,0.563336,0.519638,0.52095,0.545842,0.504871,0.515856,0.521996,0.546996,0.521766,0.485549,0.494263,0.471731,0.541128,0.491921,0.526183,0.516744625,0.0250237749560293,0.516744625,0.00625594373900734,0.625703625,0.00348096067903077,0.4455205,0.00486845220901905
0.525,0.513566,0.585769,0.539324,0.536769,0.564866,0.522818,0.53604,0.539595,0.5694,0.542208,0.5068,0.50944,0.488681,0.564699,0.51058,0.541267,0.535738875,0.0264064824033165,0.535738875,0.00660162060082914,0.6410995,0.00340837128870472,0.4473196875,0.00500499594476693
0.53,0.531267,0.607969,0.558941,0.552016,0.583348,0.540417,0.556034,0.557057,0.591404,0.56266,0.528453,0.524753,0.506214,0.588247,0.529498,0.555878,0.55463475,0.0277524240274611,0.55463475,0.00693810600686527,0.6558435625,0.00346049795786766,0.44939559375,0.00519930198236646
0.535,0.548829,0.62986,0.578365,0.566638,0.601218,0.557563,0.575688,0.574316,0.612878,0.583034,0.550409,0.540136,0.524206,0.611667,0.548507,0.569963,0.5733298125,0.0290915588472412,0.5733298125,0.00727288971181031,0.6699259375,0.00362244043253158,0.4517019375,0.00544766507217095
0.54,0.566092,0.651375,0.597482,0.580599,0.618434,0.574166,0.594867,0.591314,0.63372,0.603248,0.572584,0.555552,0.542531,0.634858,0.567453,0.583495,0.591735625,0.0304548016222401,0.591735625,0.00761370040556003,0.683355375,0.0038738344299447,0.454190125,0.00574376741775237
0.545,0.582904,0.672454,0.616187,0.593884,0.634977,0.590154,0.613454,0.608006,0.653852,0.623227,0.594915,0.570985,0.561071,0.657722,0.586205,0.596469,0.609779125,0.0318684219625531,0.609779125,0.00796710549063826,0.696155,0.00419744034700515,0.4568120625,0.00608227291882171
0.55,0.59913,0.693045,0.634394,0.606498,0.650854,0.605473,0.631358,0.624355,0.673227,0.642901,0.617363,0.586449,0.579723,0.680171,0.604671,0.608903,0.6274071875,0.0333514926127128,0.6274071875,0.00833787315317819,0.708361375,0.00458414909850145,0.45952290625,0.00646101112583982
0.555,0.616202,0.713103,0.652033,0.61846,0.666089,0.620092,0.648516,0.640336,0.691825,0.662209,0.639913,0.601979,0.598404,0.702119,0.622799,0.620833,0.644682,0.0348280917632113,0.644682,0.00870702294080283,0.72002325,0.00503327266754279,0.462329375,0.00687014780417281
0.56,0.633699,0.732587,0.669057,0.630208,0.680725,0.633996,0.664893,0.655933,0.709654,0.681096,0.662563,0.617627,0.617058,0.72349,0.640592,0.632311,0.6615930625,0.036301299674564,0.6615930625,0.009075324918641,0.7311991875,0.00555022565698815,0.4651969375,0.00731277528781458
0.565,0.650511,0.751461,0.68544,0.643754,0.694816,0.647192,0.680484,0.671138,0.726739,0.699514,0.68532,0.633459,0.635658,0.74421,0.658101,0.643398,0.6781996875,0.0376922086055262,0.6781996875,0.00942305215138154,0.741972125,0.00614336289887645,0.46811378125,0.007783207525129
0.57,0.666671,0.769693,0.701175,0.65734,0.708423,0.661835,0.695313,0.685946,0.743125,0.717423,0.708182,0.649538,0.654204,0.764214,0.675421,0.65416,0.6945414375,0.0389549180942428,0.6945414375,0.0097387295235607,0.7524148125,0.0068170730615729,0.4710633125,0.0082779012925668
0.575,0.682273,0.787254,0.716276,0.671082,0.721607,0.67741,0.709424,0.700356,0.758865,0.734786,0.731129,0.665922,0.672719,0.78344,0.692684,0.664661,0.710618,0.0400876026605068,0.710618,0.0100219006651267,0.7625789375,0.00757357483153803,0.47401953125,0.00879773774833236
0.58,0.697462,0.804119,0.730767,0.685089,0.734428,0.692989,0.722885,0.71437,0.774017,0.751573,0.754105,0.68265,0.69124,0.801836,0.710036,0.674962,0.726408,0.0411211958321578,0.726408,0.0102802989580394,0.7725370625,0.00841149178677042,0.47693546875,0.00934589537240493
0.585,0.712418,0.820263,0.744686,0.699461,0.74694,0.708726,0.735773,0.727989,0.78864,0.767756,0.777012,0.69974,0.709813,0.819356,0.727622,0.685117,0.741957,0.0420288431992443,0.741957,0.0105072107998111,0.7823583125,0.00932293371553841,0.47979934375,0.00991507225767475
0.59,0.727344,0.835667,0.758078,0.714276,0.759187,0.724773,0.748176,0.74121,0.802785,0.783313,0.799704,0.717179,0.728477,0.835962,0.745561,0.699095,0.7575491875,0.04241900825372,0.7575491875,0.01060475206343,0.792104,0.0102937492100789,0.48272259375,0.0104492506367545
0.595,0.742442,0.850311,0.770988,0.729583,0.7712,0.74126,0.76018,0.754033,0.816494,0.798222,0.821989,0.734926,0.747259,0.851624,0.763926,0.714273,0.773044375,0.0424951456676721,0.773044375,0.010623786416918,0.801826,0.0113045230022471,0.4856091875,0.0109641547095825
0.6,0.757892,0.864182,0.783464,0.745399,0.783001,0.758279,0.77187,0.766452,0.829796,0.812465,0.843637,0.752915,0.766157,0.866323,0.782727,0.729905,0.788404,0.0423179522519698,0.788404,0.0105794880629925,0.811563375,0.0123311633294386,0.4884203125,0.0114553256962155
0.605,0.773831,0.877269,0.795546,0.761702,0.794599,0.775864,0.78332,0.778461,0.842707,0.826027,0.864395,0.771055,0.785142,0.880047,0.801897,0.745875,0.8036085625,0.0419003808430882,0.8036085625,0.0104750952107721,0.8213416875,0.0133463685968377,0.4911334375,0.0119107319038049
0.61,0.790332,0.889566,0.80727,0.778432,0.805991,0.793983,0.794595,0.790052,0.85523,0.838896,0.884007,0.789241,0.804145,0.892795,0.821294,0.762035,0.8186165,0.0412696099682725,0.8186165,0.0103174024920681,0.8311719375,0.0143208461038064,0.49372228125,0.0123191242979372
0.615,0.807392,0.901069,0.818664,0.795491,0.817167,0.812529,0.80574,0.80122,0.867352,0.851064,0.902234,0.807359,0.823059,0.904576,0.840706,0.778219,0.8333650625,0.0404654231766146,0.8333650625,0.0101163557941537,0.8410526875,0.0152243370741604,0.4961561875,0.0126703464341571
0.62,0.824926,0.911782,0.829746,0.812747,0.828107,0.831323,0.816789,0.811956,0.879052,0.862525,0.918875,0.825287,0.841741,0.915407,0.859865,0.79426,0.84777425,0.0395380519069921,0.84777425,0.00988451297674802,0.8509699375,0.0160269785472467,0.49840215625,0.0129557457619974
0.625,0.842765,0.921711,0.840528,0.830041,0.838786,0.850125,0.827756,0.822257,0.890301,0.873281,0.933783,0.842903,0.860018,0.925313,0.87847,0.810004,0.861752625,0.0385416730096571,0.861752625,0.00963541825241429,0.860900375,0.0167001975082819,0.500426125,0.0131678078803481
0.63,0.860669,0.930867,0.85101,0.847194,0.849177,0.868648,0.842866,0.83529,0.901061,0.883338,0.946874,0.86008,0.877693,0.934327,0.896211,0.825329,0.875664625,0.0370279307494131,0.875664625,0.00925698268735328,0.8708129375,0.0172179032372481,0.50242584375,0.0132374429623007
0.635,0.878343,0.939267,0.861189,0.864019,0.859252,0.886582,0.861402,0.850669,0.911296,0.892705,0.958134,0.876688,0.894559,0.942488,0.9128,0.84015,0.8893464375,0.0350658382436406,0.8893464375,0.00876645956091015,0.880670625,0.017557453594764,0.50433790625,0.0131619565778371
0.64,0.895465,0.946932,0.871054,0.880324,0.868981,0.903619,0.879719,0.865583,0.920967,0.9014,0.967613,0.892593,0.910412,0.949841,0.927991,0.854425,0.9023074375,0.0331211906649278,0.9023074375,0.00828029766623195,0.8904318125,0.0177006061928254,0.5059378125,0.0129904519295287
0.645,0.911711,0.953886,0.880592,0.895926,0.878341,0.919477,0.897427,0.880014,0.930043,0.909445,0.975421,0.907656,0.925066,0.956434,0.941605,0.868152,0.91444975,0.031246356249436,0.91444975,0.007811589062359,0.900051125,0.0176347096701068,0.5071993125,0.0127231493662329
0.65,0.926789,0.960159,0.889785,0.910654,0.887307,0.933924,0.914147,0.893941,0.938495,0.916868,0.981709,0.921739,0.938368,0.962317,0.953531,0.881349,0.925692625,0.0294685279733594,0.925692625,0.00736713199333985,0.9094788125,0.0173536394605519,0.50810690625,0.0123603857269459
0.655,0.940457,0.965783,0.898616,0.924359,0.895864,0.946794,0.929547,0.907319,0.946304,0.9237,0.986659,0.934711,0.950207,0.967543,0.96374,0.894047,0.935978125,0.0277890029157219,0.935978125,0.00694725072893047,0.9186608125,0.0168588779048357,0.50865865625,0.0119030643168831
0.66,0.952548,0.970793,0.907069,0.936916,0.909691,0.957994,0.94337,0.920078,0.953459,0.929978,0.990467,0.946459,0.960526,0.972164,0.972275,0.906266,0.9456283125,0.0256244140530569,0.9456283125,0.00640610351326423,0.9275396875,0.0161601166450304,0.5090443125,0.0112831100791473
0.665,0.962979,0.975227,0.915127,0.948233,0.923135,0.967512,0.955456,0.932117,0.959958,0.93574,0.993329,0.956898,0.969325,0.976231,0.97924,0.917999,0.954281625,0.023490156769379,0.954281625,0.00587253919234474,0.9360546875,0.0152753817294688,0.50911346875,0.0105739604609068
0.67,0.971746,0.979124,0.922778,0.958252,0.935511,0.975403,0.965739,0.943319,0.96581,0.941027,0.99543,0.965983,0.976654,0.979794,0.984786,0.929207,0.9619101875,0.0214453224836832,0.9619101875,0.00536133062092079,0.9441443125,0.0142303856842552,0.5088829375,0.00979585815258801
0.675,0.978922,0.982526,0.934738,0.966954,0.946737,0.981783,0.974252,0.95356,0.971032,0.948552,0.996936,0.973713,0.982614,0.982903,0.989093,0.939815,0.969008125,0.0186967043401593,0.969008125,0.00467417608503983,0.9517494375,0.0130574486098832,0.50862934375,0.0088658123474615
0.68,0.98464,0.985474,0.946973,0.974357,0.956757,0.986811,0.981105,0.96273,0.975649,0.956605,0.99799,0.980133,0.987341,0.985602,0.992356,0.949719,0.975265125,0.0158036153790834,0.975265125,0.00395090384477084,0.9588163125,0.0117932136328196,0.50822440625,0.00787205873879524
0.685,0.989073,0.98801,0.957818,0.980517,0.965541,0.990672,0.986468,0.970749,0.979694,0.963907,0.99871,0.98533,0.990995,0.987935,0.994764,0.958806,0.9805618125,0.0130962459415857,0.9805618125,0.00327406148539642,0.9653009375,0.0104768819246109,0.5076304375,0.00687547170500369
0.69,0.992416,0.990175,0.967195,0.985524,0.973091,0.993558,0.990549,0.977582,0.983204,0.970478,0.999191,0.989426,0.993746,0.989942,0.996497,0.966968,0.984971375,0.010624741288615,0.984971375,0.00265618532215375,0.971170625,0.00914756251180016,0.506900375,0.00590187391697695
0.695,0.994867,0.992008,0.975091,0.989493,0.979441,0.995658,0.993564,0.983245,0.986222,0.976316,0.999504,0.992568,0.995762,0.99166,0.997711,0.974121,0.9885769375,0.00842889919636603,0.9885769375,0.00210722479909151,0.9764074375,0.00784241393851873,0.50608475,0.00497481936880512
0.7,0.996613,0.993548,0.981557,0.992559,0.984655,0.997146,0.99573,0.987803,0.988792,0.981413,0.999702,0.994909,0.9972,0.993122,0.998541,0.980224,0.991469625,0.00653410922136039,0.991469625,0.0016335273053401,0.9810070625,0.00659485406489329,0.50523128125,0.0041141906851167
0.705,0.997823,0.994832,0.986699,0.994863,0.988827,0.998171,0.99724,0.99136,0.991282,0.985763,0.999826,0.996604,0.998196,0.994361,0.999092,0.985281,0.99376375,0.0049378349844171,0.99376375,0.00123445874610427,0.98498025,0.00543299580303844,0.50439175,0.00333372727457136
