DISTRICT,VPI
CD 1,0.431670
CD 2,0.432957
CD 3,0.463599
CD 4,0.468259
CD 5,0.482758
CD 6,0.534209
CD 7,0.563680
CD 8,0.565989
CD 9,0.571408
CD 10,0.585263
CD 11,0.588047
CD 12,0.588367
CD 13,0.657926
CD 14,0.667085
CD 15,0.800841
CD 16,0.810986
CD 17,0.819553
CD 18,0.875253
