DISTRICT,VPI,TWO-PARTY
CD 1,0.787274,191587
CD 2,0.889342,232108
CD 3,0.417639,223529
CD 4,0.351119,219006
CD 5,0.410569,205092
CD 6,0.449205,235041
CD 7,0.463096,256291
CD 8,0.463126,256410
CD 9,0.373002,201080
CD 10,0.339407,203635
CD 11,0.405916,213284
CD 12,0.426534,248977
CD 13,0.638672,212046
CD 14,0.651791,232333
CD 15,0.427549,204295
CD 16,0.387813,196744
CD 17,0.518132,199423
CD 18,0.418436,246780
