DISTRICT,VPI,TWO-PARTY
CD 1,0.331070,107382
CD 2,0.359409,86951
CD 3,0.327728,91878
CD 4,0.383560,104852
CD 5,0.391321,88421
CD 6,0.409483,92739
CD 7,0.370828,93329
CD 8,0.275614,81313
CD 9,0.711185,68040
CD 10,0.456006,100525
CD 11,0.269613,94884
CD 12,0.393807,96296
CD 13,0.271173,96186
CD 14,0.477581,94830
CD 15,0.501802,46048
CD 16,0.507651,58359
CD 17,0.424841,93734
CD 18,0.746615,68094
CD 19,0.329992,90578
CD 20,0.558684,64319
CD 21,0.413797,126417
CD 22,0.372430,82845
CD 23,0.455878,70973
CD 24,0.364116,100284
CD 25,0.456527,111875
CD 26,0.319460,81500
CD 27,0.434824,96032
CD 28,0.544927,53565
CD 29,0.636011,39416
CD 30,0.736990,89297
CD 31,0.382076,85894
CD 32,0.416097,113411
CD 33,0.676813,52168
CD 34,0.521079,57166
CD 35,0.616294,57333
CD 36,0.379557,91915
