DISTRICT,VPI
CD 1,0.223426
CD 2,0.223691
CD 3,0.246111
CD 4,0.258285
CD 5,0.298544
CD 6,0.300477
CD 7,0.310651
CD 8,0.311429
CD 9,0.319181
CD 10,0.331880
CD 11,0.342921
CD 12,0.351763
CD 13,0.353150
CD 14,0.356353
CD 15,0.360648
CD 16,0.363184
CD 17,0.376169
CD 18,0.382015
CD 19,0.383885
CD 20,0.385185
CD 21,0.391974
CD 22,0.395413
CD 23,0.395439
CD 24,0.418439
CD 25,0.447795
CD 26,0.519898
CD 27,0.543649
CD 28,0.546673
CD 29,0.546709
CD 30,0.582619
CD 31,0.595134
CD 32,0.625399
CD 33,0.666469
CD 34,0.726329
CD 35,0.731002
CD 36,0.745915
