,04P,06AG,06G,06SoS,08P,08S,10-12D,10AG,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.415,0.199311,0.203951,0.154751,0.169559,0.176642,0.162448,0.181473,0.209113,0.17738,0.187749,0.190422,0.180257,0.182754666666667,0.0163671351485132,0.182754666666667,0.00472478494192855,0.218758333333333,0.00749561923203928,0.481998166666667,0.00611020208698391
0.42,0.212758,0.219414,0.171501,0.183299,0.191759,0.177672,0.193843,0.222017,0.189347,0.201015,0.202475,0.194765,0.196655416666667,0.0157644871234415,0.196655416666667,0.00455081544217766,0.236532583333333,0.00732802261916163,0.480061416666667,0.00593941903066964
0.425,0.226719,0.235546,0.189141,0.197653,0.207406,0.193497,0.207082,0.235408,0.20181,0.214999,0.215534,0.21001,0.21123375,0.0152472175949044,0.21123375,0.00440149259140544,0.253701166666667,0.00717767162575524,0.478766291666667,0.00578958210858034
0.43,0.241218,0.252377,0.207748,0.21274,0.22364,0.209991,0.221292,0.249267,0.214881,0.229767,0.22968,0.226065,0.2265555,0.0147996901165347,0.2265555,0.00427230253635217,0.270472,0.00707523017079282,0.47804175,0.0056737663535725
0.435,0.256253,0.269902,0.227394,0.228652,0.240495,0.22721,0.236522,0.263549,0.228648,0.245341,0.244947,0.242957,0.242655833333333,0.0144046343479093,0.242655833333333,0.00415825975917179,0.286891583333333,0.00702471160031147,0.477882125,0.00559148567974163
0.44,0.271789,0.28808,0.248126,0.245446,0.257971,0.245181,0.252764,0.276453,0.24317,0.261697,0.261322,0.260659,0.259388166666667,0.0138527214709426,0.259388166666667,0.00399893623512882,0.303047583333333,0.00702415608158444,0.478170291666667,0.00551154615835663
0.445,0.287775,0.30684,0.269961,0.263136,0.276034,0.263897,0.269955,0.288961,0.258478,0.278768,0.278752,0.279089,0.276803833333333,0.0133714944757552,0.276803833333333,0.00386001796752243,0.319055333333333,0.00706503943064479,0.47887425,0.00546252869908361
0.45,0.304143,0.32609,0.292869,0.28169,0.294614,0.283313,0.287988,0.302051,0.274575,0.296454,0.297151,0.29812,0.2949215,0.0131463147791587,0.2949215,0.00379501418829943,0.33490925,0.00711309809875416,0.480006125,0.0054540561435268
0.455,0.320826,0.344249,0.316772,0.301037,0.313616,0.303347,0.306723,0.315742,0.291447,0.314636,0.316408,0.317588,0.313532583333333,0.0129053743593923,0.313532583333333,0.00372546068019403,0.350847583333333,0.00717272484407165,0.4813425,0.00544909276213284
0.46,0.337757,0.361765,0.341538,0.321069,0.332918,0.323891,0.325998,0.330055,0.30906,0.33318,0.336396,0.337305,0.332577666666667,0.0128171177041652,0.332577666666667,0.00369998317836744,0.366885166666667,0.00718063306995655,0.48284625,0.00544030812416199
