DISTRICT,VPI,TWO-PARTY
CD 1,0.310826,245932
CD 2,0.353139,240554
CD 3,0.345436,257440
CD 4,0.283419,244112
CD 5,0.360224,204628
CD 6,0.412404,243870
CD 7,0.387549,230864
CD 8,0.224378,245782
CD 9,0.777049,180466
CD 10,0.401545,257819
CD 11,0.204868,220806
CD 12,0.321996,239925
CD 13,0.196516,218934
CD 14,0.407000,239855
CD 15,0.560688,141765
CD 16,0.617130,147925
CD 17,0.385498,213643
CD 18,0.759800,190970
CD 19,0.251219,207357
CD 20,0.593687,180179
CD 21,0.389972,296862
CD 22,0.365584,247481
CD 23,0.467063,184656
CD 24,0.380829,238091
CD 25,0.394201,256364
CD 26,0.307694,251237
CD 27,0.391939,207109
CD 28,0.570581,158577
CD 29,0.647312,110463
CD 30,0.790334,213587
CD 31,0.391843,228372
CD 32,0.422762,245079
CD 33,0.706070,115524
CD 34,0.569754,139748
CD 35,0.642609,157897
CD 36,0.272886,231192
