DISTRICT,VPI,TWO-PARTY
CD 1,0.391595,235689
CD 2,0.376709,227908
CD 3,0.614658,192487
CD 4,0.338804,214958
CD 5,0.342429,233413
CD 6,0.427156,215258
CD 7,0.389023,215344
CD 8,0.302433,226574
CD 9,0.586495,197349
CD 10,0.401160,236207
CD 11,0.767264,204135
CD 12,0.366063,249055
CD 13,0.589123,214709
CD 14,0.409100,238992
CD 15,0.390428,225060
CD 16,0.379011,242240
