DISTRICT,VPI,TWO-PARTY
CD 1,0.655633,217785
CD 2,0.537940,278899
CD 3,0.470756,240340
CD 4,0.340281,229934
CD 5,0.320979,210752
CD 6,0.448432,217061
CD 7,0.497900,213569
