,04P,06A,06AG,06G,06S,06SoS,06T,08AG,08P,10-12D,10A,10AG,10G,10S,10SoS,10T,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.66,0.996492,0.998021,0.997539,0.974014,0.994827,0.992679,0.992174,0.986097,0.995278,0.995811,0.997384,0.99485,0.99758,0.998191,0.997571,0.998239,0.994055,0.991912,0.994039666666667,0.00586659199595973,0.994039666666667,0.00138276899426595,0.934981277777778,0.00612337785151746,0.529529194444444,0.00375307342289171
0.665,0.997644,0.998711,0.998387,0.980295,0.996461,0.99491,0.994533,0.989688,0.996708,0.997105,0.99826,0.996387,0.99839,0.998808,0.998378,0.998837,0.995813,0.994194,0.9957505,0.00448689123676832,0.9957505,0.00105757040665512,0.941928277777778,0.00586564389581013,0.526911111111111,0.00346160715123263
0.67,0.998448,0.999177,0.998962,0.985363,0.997627,0.996532,0.996258,0.992498,0.997748,0.998037,0.998865,0.997514,0.998949,0.999229,0.998937,0.999245,0.997107,0.995913,0.997022722222222,0.00335766043908298,0.997022722222222,7.91408155132459E-4,0.948348888888889,0.00563206952286501,0.524336916666667,0.00321173883899874
0.675,0.998997,0.999484,0.999346,0.989359,0.99844,0.997685,0.997491,0.994652,0.99849,0.998696,0.999274,0.998323,0.999327,0.999511,0.999317,0.99952,0.99804,0.997181,0.997951833333333,0.00245677134491114,0.997951833333333,5.79066559270486E-4,0.954292222222222,0.00541180034591292,0.521829805555556,0.00299543345259171
0.68,0.999365,0.999683,0.999595,0.992434,0.998996,0.998487,0.998352,0.996268,0.999008,0.999151,0.999545,0.998892,0.999578,0.999696,0.99957,0.9997,0.998699,0.998096,0.9986175,0.0017565384826916,0.9986175,4.14020090842121E-4,0.959804944444444,0.00519248273224428,0.519406277777778,0.0028032514115432
0.685,0.999606,0.999809,0.999755,0.994741,0.999367,0.999032,0.998941,0.997452,0.999362,0.999458,0.99972,0.999284,0.99974,0.999814,0.999734,0.999817,0.999155,0.998742,0.999084944444444,0.00122674449481364,0.999084944444444,2.89146450355331E-4,0.964924722222222,0.00496280302662538,0.517080111111111,0.00262597473849036
0.69,0.99976,0.999887,0.999854,0.99643,0.999609,0.999394,0.999334,0.998299,0.999598,0.999662,0.999832,0.999547,0.999843,0.999889,0.999839,0.99989,0.999462,0.999187,0.999406444444444,8.36195742790768E-4,0.999406444444444,1.97093226708891E-4,0.9696775,0.00471323656212192,0.514864472222222,0.00245516489441541
0.695,0.999857,0.999935,0.999915,0.997634,0.999764,0.999629,0.99959,0.998891,0.999752,0.999793,0.999901,0.999719,0.999907,0.999935,0.999905,0.999935,0.999666,0.999486,0.999623,5.56133818005556E-4,0.999623,1.31081997986298E-4,0.974076666666667,0.0044366748331564,0.512773166666667,0.00228387841557135
0.7,0.999917,0.999963,0.999952,0.99847,0.99986,0.999778,0.999753,0.999294,0.999851,0.999876,0.999943,0.99983,0.999946,0.999963,0.999945,0.999963,0.999797,0.999683,0.999765777777778,3.60751919901221E-4,0.999765777777778,8.50300429627398E-5,0.978123666666667,0.00412832458697531,0.510821055555556,0.00210667731496902
0.705,0.999952,0.999979,0.999973,0.999035,0.999919,0.99987,0.999855,0.999561,0.999912,0.999928,0.999968,0.999899,0.99997,0.999979,0.999969,0.999979,0.999879,0.999809,0.999857555555556,2.28124894126569E-4,0.999857555555556,5.37695531981202E-5,0.981812277777778,0.00378625982850163,0.509022638888889,0.00192001469084988
0.71,0.999973,0.999989,0.999985,0.999406,0.999954,0.999926,0.999917,0.999734,0.999949,0.999959,0.999982,0.999942,0.999983,0.999988,0.999983,0.999988,0.99993,0.999887,0.999915277777778,1.40681453084015E-4,0.999915277777778,3.31589364876282E-5,0.985132,0.00341215220737213,0.507391638888889,0.00172265557192988
0.715,0.999985,0.999994,0.999992,0.999644,0.999975,0.999958,0.999953,0.999843,0.999971,0.999977,0.99999,0.999967,0.999991,0.999994,0.99999,0.999994,0.99996,0.999935,0.999950722222222,8.44482476783753E-5,0.999950722222222,1.99046428642334E-5,0.988073277777778,0.00301195357944677,0.505938722222222,0.0015159291111555
0.72,0.999992,0.999997,0.999996,0.999792,0.999986,0.999977,0.999974,0.999909,0.999984,0.999987,0.999995,0.999982,0.999995,0.999997,0.999995,0.999997,0.999978,0.999964,0.999972055555555,4.94683169218836E-5,0.999972055555555,1.16597941164497E-5,0.990631444444444,0.00259588389900987,0.504670305555555,0.00130377184656316
0.725,0.999996,0.999998,0.999998,0.999882,0.999993,0.999988,0.999986,0.999949,0.999992,0.999993,0.999997,0.99999,0.999997,0.999998,0.999997,0.999998,0.999988,0.99998,0.999984444444444,2.80487437534062E-5,0.999984444444444,6.61115230393244E-6,0.992808444444444,0.00217785101434146,0.503588,0.0010922310833227
0.73,0.999998,0.999999,0.999999,0.999935,0.999996,0.999994,0.999993,0.999972,0.999996,0.999996,0.999999,0.999995,0.999999,0.999999,0.999999,0.999999,0.999994,0.999989,0.999991722222222,1.55329083506713E-5,0.999991722222222,3.66114160876962E-6,0.994616722222222,0.00177346442793773,0.5026875,8.88562784773249E-4
0.735,0.999999,1,0.999999,0.999965,0.999998,0.999997,0.999996,0.999985,0.999998,0.999998,0.999999,0.999997,0.999999,1,0.999999,1,0.999997,0.999994,0.999995555555556,8.36816250982213E-6,0.999995555555556,1.97239481892209E-6,0.9960785,0.00139811845844914,0.501958527777778,7.00045426634033E-4
0.74,0.999999,1,1,0.999981,0.999999,0.999998,0.999998,0.999992,0.999999,0.999999,1,0.999999,1,1,1,1,0.999998,0.999997,0.999997722222222,4.58649623485639E-6,0.999997722222222,1.08104752985117E-6,0.997226055555556,0.00106446370391039,0.501385833333333,5.32772375720121E-4
0.745,1,1,1,0.999991,1,0.999999,0.999999,0.999996,0.999999,1,1,0.999999,1,1,1,1,0.999999,0.999999,0.999998944444444,2.20886508582378E-6,0.999998944444444,5.20634493637401E-7,0.998098222222222,7.8109113205327E-4,0.500950361111111,3.90805883273454E-4
0.75,1,1,1,0.999995,1,1,1,0.999998,1,1,1,1,1,1,1,1,1,0.999999,0.999999555555556,1.24721912891705E-6,0.999999555555556,2.93972367894275E-7,0.998739055555556,5.5128829789879E-4,0.50063025,2.75791135133342E-4
