,04P,06A,06AG,06G,06S,06SoS,06T,08AG,08P,10-12D,10A,10AG,10G,10S,10SoS,10T,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.295,0.024129,0.011738,0.005825,8.96E-4,0.00409,0.002942,0.002608,0.002129,0.012563,0.021329,0.030875,0.018473,0.01574,0.055451,0.044624,0.042683,0.01858,0.012704,0.0181877222222222,0.0160637400004063,0.0181877222222222,0.00378625982850163,1.42444444444445E-4,5.37695531981202E-5,0.509022638888889,0.00192001469084988
0.3,0.029378,0.015422,0.008157,0.001387,0.005831,0.004285,0.003849,0.003171,0.016428,0.026551,0.03646,0.023607,0.020159,0.05981,0.050206,0.04882,0.023565,0.016688,0.0218763333333333,0.0175149978623364,0.0218763333333333,0.00412832458697531,2.34222222222136E-4,8.50300429627398E-5,0.510821055555556,0.00210667731496902
0.305,0.034843,0.019698,0.011112,0.002091,0.008086,0.006072,0.005531,0.004599,0.020893,0.032218,0.042036,0.029415,0.025126,0.063994,0.055564,0.054876,0.029126,0.02134,0.0259233333333333,0.0188232171626675,0.0259233333333333,0.0044366748331564,3.76999999999961E-4,1.31081997986298E-4,0.512773166666667,0.00228387841557135
0.31,0.040358,0.024498,0.014743,0.003073,0.010916,0.008379,0.007744,0.0065,0.025886,0.038209,0.047474,0.035818,0.03054,0.06826,0.060766,0.060864,0.035164,0.026613,0.0303225,0.0199965692064767,0.0303225,0.00471323656212192,5.93555555555514E-4,1.97093226708891E-4,0.514864472222222,0.00245516489441541
0.315,0.045789,0.029722,0.019074,0.004404,0.014361,0.01127,0.010574,0.008958,0.031307,0.044416,0.052711,0.042729,0.036285,0.072901,0.065967,0.066878,0.041573,0.032436,0.0350752777777778,0.0210553900429196,0.0350752777777778,0.00496280302662538,9.15055555555599E-4,2.89146450355331E-4,0.517080111111111,0.00262597473849036
0.32,0.05106,0.03525,0.024095,0.00616,0.018437,0.014792,0.014094,0.012052,0.037045,0.050771,0.057769,0.050072,0.042255,0.078209,0.071384,0.073068,0.04827,0.038728,0.0401950555555556,0.0220298385069839,0.0401950555555556,0.00519248273224428,0.00138250000000006,4.14020090842121E-4,0.519406277777778,0.0028032514115432
0.325,0.056165,0.040965,0.029767,0.008414,0.023129,0.018969,0.018358,0.015846,0.042996,0.057264,0.062752,0.057795,0.048377,0.08444,0.077266,0.079615,0.055205,0.045417,0.0457077777777778,0.0229603243381364,0.0457077777777778,0.00541180034591292,0.00204816666666663,5.79066559270486E-4,0.521829805555556,0.00299543345259171
0.33,0.061178,0.046773,0.036021,0.011235,0.0284,0.023801,0.023398,0.020385,0.049084,0.063947,0.067836,0.06588,0.054625,0.091781,0.08385,0.086697,0.062372,0.052457,0.0516511111111111,0.0238948473103916,0.0516511111111111,0.00563206952286501,0.00297727777777768,7.91408155132459E-4,0.524336916666667,0.00321173883899874
0.335,0.066241,0.052623,0.042775,0.01468,0.034192,0.029267,0.029218,0.025692,0.055282,0.070926,0.073238,0.074344,0.061038,0.100336,0.091332,0.094457,0.069812,0.059838,0.0580717222222222,0.0248858194485169,0.0580717222222222,0.00586564389581013,0.00424950000000002,0.00105757040665512,0.526911111111111,0.00346160715123263
0.34,0.071546,0.058518,0.049939,0.018791,0.040446,0.035329,0.0358,0.031772,0.061611,0.078343,0.079191,0.083227,0.067708,0.110107,0.099834,0.102984,0.077598,0.067593,0.0650187222222222,0.0259792920154531,0.0650187222222222,0.00612337785151746,0.00596033333333335,0.00138276899426595,0.529529194444444,0.00375307342289171
0.345,0.077305,0.064516,0.057432,0.023593,0.047105,0.041946,0.043107,0.038607,0.068142,0.086348,0.085907,0.092574,0.074771,0.120996,0.109392,0.112296,0.085818,0.075785,0.0725355555555555,0.0272032427959311,0.0725355555555555,0.006411865817089,0.00822027777777778,0.00177013145777767,0.532157638888889,0.00409099863743334
0.35,0.083725,0.070725,0.065186,0.029095,0.054133,0.049081,0.051086,0.046171,0.074985,0.095069,0.093552,0.102419,0.082383,0.132805,0.119944,0.12234,0.094549,0.084495,0.0806523888888889,0.0285545276952481,0.0806523888888889,0.00673036672229635,0.0111563333333333,0.00222026934566964,0.534748027777778,0.00447531803398299
0.355,0.090979,0.077285,0.073154,0.035293,0.061518,0.056709,0.059683,0.05443,0.082262,0.104585,0.102221,0.112762,0.090691,0.145255,0.131336,0.132998,0.103837,0.093799,0.0893776111111111,0.029993334291117,0.0893776111111111,0.00706949668921461,0.0149097222222222,0.00273054609300948,0.537233944444445,0.00490002139111204
0.36,0.09918,0.084353,0.081305,0.042179,0.069273,0.064826,0.068841,0.063345,0.090091,0.114905,0.111923,0.123557,0.099804,0.158009,0.143337,0.144097,0.113679,0.103742,0.0986914444444444,0.0314451530282064,0.0986914444444444,0.00741169364723116,0.0196346666666667,0.0032953052800748,0.539528388888889,0.00535349946365298
0.365,0.108368,0.092073,0.089627,0.049743,0.077435,0.073441,0.078507,0.072882,0.098557,0.125957,0.122578,0.134711,0.109768,0.170705,0.155656,0.155425,0.124018,0.114322,0.108542944444444,0.0328105344766554,0.108542944444444,0.00773351714093267,0.0254956666666668,0.00390542189648475,0.541523638888889,0.00581946951870871
0.37,0.118499,0.100566,0.098114,0.057978,0.086047,0.082579,0.088631,0.083002,0.1077,0.137591,0.134021,0.146083,0.120558,0.182984,0.167973,0.166748,0.134741,0.125478,0.118849611111111,0.0339782554846632,0.118849611111111,0.00800875162203145,0.0326643333333333,0.00454891517987811,0.543092638888889,0.00627883340095478
0.375,0.129451,0.109906,0.106765,0.06689,0.095153,0.092264,0.099164,0.093662,0.117497,0.149591,0.146016,0.157495,0.132064,0.194524,0.179965,0.177831,0.14569,0.137083,0.129500611111111,0.0348381331118965,0.129500611111111,0.00821142672243388,0.0413128333333334,0.00521099849316344,0.544093888888889,0.00671121260779866
0.38,0.14103,0.120116,0.115575,0.07649,0.104777,0.10251,0.110053,0.104808,0.127868,0.161696,0.158275,0.168749,0.144107,0.205067,0.191336,0.188448,0.15668,0.148956,0.140363388888889,0.0352933988131073,0.140363388888889,0.00831873387728982,0.0514170000000002,0.00573133931751987,0.544473194444444,0.00702503659740484
0.385,0.152986,0.131164,0.124534,0.086795,0.114911,0.113307,0.121235,0.116367,0.138674,0.173621,0.170486,0.179646,0.156449,0.214434,0.201838,0.198403,0.167513,0.160873,0.151290888888889,0.0352690504214954,0.151290888888889,0.00831299490634989,0.063177,0.00614061867452152,0.544056944444444,0.00722680679043571
0.39,0.165038,0.142965,0.133627,0.097822,0.125515,0.124615,0.132633,0.128244,0.149736,0.185091,0.18234,0.189996,0.168819,0.222534,0.211289,0.207538,0.177996,0.17259,0.162132666666667,0.0347163793686869,0.162132666666667,0.00818272908994775,0.0768736666666666,0.00653239788371093,0.5426295,0.00735756348682934
0.395,0.176899,0.155385,0.142835,0.109579,0.136507,0.136355,0.144156,0.140319,0.16085,0.195858,0.193561,0.199642,0.180944,0.22936,0.219584,0.215745,0.187961,0.183867,0.172744833333333,0.0336176018832747,0.172744833333333,0.00792374475296439,0.0926262777777778,0.00689568195417307,0.540059277777778,0.00740971335356873
0.4,0.188298,0.16826,0.152142,0.122055,0.147774,0.148416,0.1557,0.152451,0.171805,0.205726,0.203921,0.208464,0.192569,0.234981,0.22669,0.222966,0.19727,0.194489,0.182998722222222,0.031983930830792,0.182998722222222,0.00753868479315151,0.110518444444444,0.00721896203192993,0.536240138888889,0.00737882341254072
0.405,0.199006,0.181399,0.161534,0.135215,0.159183,0.160663,0.167154,0.164488,0.182403,0.214562,0.213264,0.216389,0.203485,0.239521,0.232646,0.229197,0.205828,0.204284,0.192790055555556,0.0298547882226664,0.192790055555556,0.0070368410677119,0.130493055555555,0.00745215099775109,0.5311485,0.0072444960327315
0.41,0.208852,0.194606,0.171007,0.148999,0.17059,0.172946,0.178411,0.176276,0.192475,0.222304,0.22151,0.223391,0.213547,0.242982,0.237548,0.234481,0.21358,0.213136,0.202035611111111,0.027279589000136,0.202035611111111,0.00642986078999271,0.152378444444444,0.00752639963976137,0.524828583333333,0.00697813021487704
0.415,0.217734,0.207686,0.180564,0.16332,0.181861,0.185121,0.189374,0.187675,0.201892,0.228956,0.228657,0.229493,0.222682,0.244859,0.241533,0.238907,0.220515,0.220993,0.210656777777778,0.0242874697772948,0.210656777777778,0.00572461152579615,0.176348055555555,0.00753889037078363,0.517154361111111,0.00663175094828989
0.42,0.225626,0.220461,0.19022,0.178072,0.192884,0.197059,0.19997,0.198574,0.210576,0.234585,0.234772,0.234761,0.230891,0.246684,0.244769,0.242593,0.226658,0.227863,0.218723222222222,0.0210985836897271,0.218723222222222,0.00497298386681264,0.202281666666667,0.00749290788382959,0.508220777777778,0.00623294587532111
0.425,0.232569,0.232782,0.199998,0.193134,0.20358,0.208668,0.210157,0.2089,0.218499,0.239307,0.239981,0.239296,0.238242,0.24853,0.247437,0.245683,0.23207,0.233812,0.226258055555556,0.0178203291759134,0.226258055555556,0.00420029186775494,0.229627277777778,0.00727093065839938,0.498315388888889,0.00573561126307716
0.43,0.238668,0.244531,0.209929,0.208391,0.213912,0.219896,0.219934,0.218633,0.225686,0.243277,0.244456,0.24323,0.244861,0.250477,0.249718,0.247902,0.236839,0.238956,0.233294222222222,0.0145673072870305,0.233294222222222,0.00343354725542916,0.258170277777778,0.00690735026890133,0.487561972222222,0.00517044876216524
0.435,0.24408,0.255634,0.22005,0.223733,0.223892,0.230739,0.229344,0.227807,0.232208,0.246675,0.248398,0.246718,0.250913,0.252619,0.251794,0.249945,0.24108,0.243449,0.239948777777778,0.0115845162815339,0.239948777777778,0.0027304966731462,0.288011111111111,0.00657565591692843,0.475968833333333,0.00465307629503731
0.44,0.248994,0.266058,0.230402,0.239078,0.233576,0.241244,0.238471,0.236511,0.238179,0.249696,0.252022,0.249928,0.256591,0.255062,0.253719,0.25222,0.244923,0.247473,0.2463415,0.00922437445830659,0.2463415,0.00217420591055753,0.3187055,0.00628266569878422,0.463818,0.00422843580467087
0.445,0.253625,0.275817,0.241028,0.25437,0.243063,0.2515,0.247442,0.244886,0.243747,0.252539,0.255551,0.253038,0.262097,0.257922,0.255991,0.254852,0.248516,0.251227,0.252622833333333,0.00803053137389169,0.252622833333333,0.00189281439700338,0.349813888888889,0.00605038400925135,0.451404472222222,0.00397159920312737
0.45,0.258193,0.284969,0.25197,0.269589,0.252487,0.261634,0.256419,0.253116,0.249088,0.255403,0.259203,0.256231,0.267633,0.261332,0.258792,0.257981,0.252017,0.25492,0.258943166666667,0.00837546129546096,0.258943166666667,0.0019741151591953,0.381211111111111,0.00597529801968992,0.438866027777778,0.00397470658944261
0.455,0.262921,0.293609,0.263275,0.284753,0.262007,0.2718,0.265587,0.261415,0.254396,0.258486,0.263186,0.259691,0.273387,0.265438,0.262275,0.261771,0.255594,0.258764,0.265464166666667,0.00994860258144475,0.265464166666667,0.00234490811622319,0.412522388888889,0.00605540869080465,0.426470888888889,0.00420015840351392
0.46,0.268018,0.301871,0.274985,0.299909,0.271799,0.282164,0.275146,0.270018,0.259881,0.261976,0.267696,0.263597,0.279533,0.2704,0.266609,0.266401,0.259418,0.26297,0.272355055555556,0.012143529395246,0.272355055555556,0.00286225732763887,0.4433775,0.00625854572065921,0.414488777777778,0.00456040152414904
0.465,0.273679,0.309916,0.287147,0.315135,0.282044,0.2929,0.285299,0.279168,0.265757,0.266056,0.272914,0.268128,0.286225,0.276388,0.271981,0.27207,0.263665,0.267742,0.279789666666667,0.014559339743433,0.279789666666667,0.00343166928739342,0.473424888888889,0.00653423281817764,0.403182388888889,0.00498295105278553
0.47,0.280078,0.317925,0.299808,0.330526,0.292917,0.304175,0.296242,0.289098,0.272241,0.270905,0.279006,0.273454,0.293595,0.283587,0.278591,0.278992,0.268509,0.273276,0.287940277777778,0.0169969602535123,0.287940277777778,0.00400622195160559,0.502262,0.00679181964076489,0.392839138888889,0.00539902079618524
0.475,0.287367,0.326095,0.313015,0.346186,0.304583,0.316141,0.308149,0.300027,0.279545,0.27669,0.286658,0.279738,0.301759,0.292187,0.286647,0.287388,0.274124,0.279759,0.297003222222222,0.0193428166345927,0.297003222222222,0.0045591456031895,0.529476666666667,0.00696101023535608,0.383763277777778,0.00576007791927279
0.48,0.295671,0.334625,0.326817,0.36222,0.317184,0.32893,0.321169,0.312144,0.287869,0.283573,0.296219,0.287134,0.310818,0.30238,0.296357,0.297486,0.280677,0.287363,0.307146444444444,0.0215418245096049,0.307146444444444,0.0050774567299574,0.554816444444444,0.00706846544495695,0.376165,0.00607296108745718
0.485,0.305093,0.343714,0.34126,0.378725,0.330837,0.342653,0.335414,0.325603,0.2974,0.291705,0.307553,0.295778,0.320855,0.314355,0.307924,0.309506,0.288325,0.296248,0.318497111111111,0.0235810587146671,0.318497111111111,0.0055581088415664,0.578417,0.00710607722604276,0.370040055555556,0.00633209303380458
0.49,0.315875,0.353548,0.356393,0.395781,0.34563,0.35739,0.350957,0.340517,0.308304,0.301222,0.320823,0.305794,0.332058,0.328291,0.321533,0.323653,0.297215,0.30655,0.331196333333333,0.0254480224217221,0.331196333333333,0.00599815640739566,0.600078555555556,0.00700119330081947,0.365558888888889,0.00649967485410757
0.495,0.329478,0.364738,0.372257,0.413447,0.36162,0.373197,0.36783,0.356954,0.320719,0.31316,0.336163,0.318048,0.345984,0.344346,0.337341,0.340104,0.307477,0.318385,0.345624888888889,0.0270022294480178,0.345624888888889,0.00636448651661615,0.619966222222222,0.00685037998161562,0.362829333333333,0.00660743324911588
0.5,0.344956,0.378693,0.388889,0.431753,0.378828,0.390101,0.386022,0.374933,0.334755,0.328592,0.353673,0.333748,0.361851,0.362646,0.355467,0.358994,0.319221,0.33184,0.361942333333333,0.0281722468982173,0.361942333333333,0.00664026227433039,0.638057666666667,0.00664026227433039,0.361942333333333,0.00664026227433039
0.505,0.362388,0.39469,0.406315,0.450705,0.397249,0.408103,0.40548,0.394429,0.350487,0.346544,0.37341,0.351846,0.3798,0.383276,0.375977,0.380404,0.332532,0.346973,0.380033777777778,0.0290637008322299,0.380033777777778,0.00685037998161562,0.654375111111111,0.00636448651661615,0.362829333333333,0.00660743324911588
0.51,0.381825,0.412862,0.424552,0.470279,0.416843,0.427177,0.42612,0.415367,0.36795,0.367107,0.39538,0.372415,0.39994,0.406269,0.39888,0.40435,0.347467,0.363803,0.399921444444444,0.0297035475564436,0.399921444444444,0.00700119330081947,0.668803666666667,0.00599815640739566,0.365558888888889,0.00649967485410757
0.515,0.403281,0.43329,0.4436,0.490426,0.437546,0.447275,0.44782,0.437636,0.387139,0.390304,0.419535,0.395462,0.422328,0.431596,0.424118,0.430772,0.364053,0.382313,0.421583,0.0301485323650208,0.421583,0.00710607722604276,0.681502888888889,0.0055581088415664,0.370040055555556,0.00633209303380458
