DISTRICT,VPI
CD 1,0.385106
CD 2,0.436360
CD 3,0.440415
CD 4,0.440416
CD 5,0.444179
CD 6,0.444629
CD 7,0.460507
CD 8,0.468812
CD 9,0.473905
CD 10,0.477168
CD 11,0.489429
CD 12,0.506242
CD 13,0.656102
CD 14,0.658528
CD 15,0.665822
CD 16,0.810099
