2012S,2010D,V,2004P,2006AG,2006C,2006G,2006S,2008P,2010C,2010G,2010S,2012P,Mean,Standard Deviation,Mean,sem,ave,R mean,R,B_GS,
not,used,,,,,,,,,,,,,,,,,,,,
3rd,ballot,sw-avg,0.565656,0.610605,0.590902,0.533041,0.550864,0.629301,0.611385,0.573751,0.63497,0.633217,"Statistics On Rows of [Second Alec results MD 4/23]Sheet1!Col(""2004P""):Col(""2012P"")","Statistics On Rows of [Second Alec results MD 4/23]Sheet1!Col(""2004P""):Col(""2012P"")",,,for ,,SEM,,SEM
0.008226,0.036723,0.355,0.028598,0.00631,0.007832,0.015468,0.009841,0.01535,0.009636,0.017987,0.006628,0.015716,0.0133366,0.00682631706787131,0.0133366,0.00215867099649555,,0.1016793,0.0058009379472442,0.45582865,0.00397980447186988
0.011439,0.046912,0.36,0.037061,0.008872,0.010895,0.02076,0.013572,0.020645,0.013241,0.023945,0.009291,0.021083,0.0179365,0.0086579847058462,0.0179365,0.00273789516173769,,0.1076376,0.00506684218160911,0.45514945,0.0039023686716734
0.015607,0.058774,0.365,0.047068,0.012245,0.014872,0.027331,0.018366,0.027226,0.017855,0.03128,0.012782,0.027739,0.0236764,0.0107311256860075,0.0236764,0.00339347990253204,,0.1130474,0.00440049014239702,0.4553145,0.00389698502246453
0.020903,0.072273,0.37,0.058616,0.016599,0.019933,0.035311,0.024395,0.035221,0.023637,0.040123,0.017268,0.035808,0.0306911,0.0129987680052979,0.0306911,0.00411057136728649,,0.117744,0.00379237898071031,0.45647355,0.0039514751739984
0.027491,0.087299,0.375,0.07162,0.022107,0.026238,0.044794,0.031823,0.044716,0.030733,0.050561,0.022916,0.045379,0.0390887,0.0153889099465961,0.0390887,0.00486640061384638,,0.122046,0.00331037469849629,0.45852135,0.00408838765617133
0.035521,0.10368,0.38,0.085918,0.028938,0.033938,0.055826,0.040784,0.055744,0.039267,0.062639,0.029886,0.056487,0.0489427,0.0178075696204982,0.0489427,0.00563124795927944,,0.1261262,0.00299765232510747,0.46140825,0.00431445014219346
0.04511,0.121192,0.385,0.101276,0.037252,0.043157,0.0684,0.051383,0.068279,0.049327,0.076341,0.038321,0.069108,0.0602844,0.0201419626661466,0.0602844,0.0063694478571101,,0.1301321,0.00286327415713007,0.46507615,0.00461636100712009
0.056341,0.139587,0.39,0.117402,0.047181,0.053984,0.082449,0.063674,0.082227,0.060962,0.0916,0.048334,0.08316,0.0730973,0.0222700046253051,0.0730973,0.00704239381184488,,0.134148,0.00285390683878163,0.46947465,0.00494815032531326
0.069244,0.158614,0.395,0.133973,0.058826,0.066468,0.097856,0.077662,0.097436,0.074172,0.108294,0.060005,0.098503,0.0873195,0.0240688395983502,0.0873195,0.00761123537680389,,0.1381707,0.00286404215149769,0.4745744,0.00523763876415079
0.083802,0.17805,0.4,0.150662,0.07225,0.080609,0.114458,0.093299,0.113702,0.088911,0.126256,0.073367,0.114952,0.1028466,0.0254265493975621,0.1028466,0.00804058091350785,,0.1425872,0.00295327180447569,0.4801297,0.00549692635899177
0.099944,0.197721,0.405,0.167172,0.087469,0.096364,0.132065,0.110484,0.13079,0.105089,0.145289,0.088408,0.132292,0.1195422,0.0262542906199264,0.1195422,0.00830233567109615,,0.1475386,0.00309489025545872,0.4860018,0.00569861296327743
0.117555,0.217521,0.41,0.183261,0.104456,0.113647,0.150478,0.129077,0.148458,0.122583,0.165179,0.105072,0.150301,0.1372512,0.0264949880870578,0.1372512,0.00837845089341301,,0.1531427,0.00327083104305653,0.49205425,0.00582464096823477
0.136484,0.237421,0.415,0.198772,0.123142,0.132341,0.169509,0.148909,0.166475,0.141247,0.185713,0.123262,0.168769,0.1558139,0.0261328496275388,0.1558139,0.00826393265737055,,0.1594566,0.00347700425398391,0.49817865,0.00587046845567723
0.15656,0.257461,0.42,0.213638,0.143423,0.152311,0.189,0.169798,0.184649,0.160928,0.206692,0.142853,0.187522,0.1750814,0.0251959533355833,0.1750814,0.00796766003597599,,0.166682,0.00369899011443214,0.5041997,0.00583332507520406
0.177608,0.277746,0.425,0.227899,0.165171,0.173416,0.208839,0.191567,0.202846,0.181484,0.227946,0.1637,0.206435,0.1949303,0.0237612369676609,0.1949303,0.0075139628840801,,0.1749295,0.00393543562815266,0.5100004,0.00572469925611638
0.19946,0.29842,0.43,0.241687,0.18824,0.195523,0.228965,0.214057,0.220998,0.20279,0.24934,0.185654,0.225446,0.21527,0.0219530582734059,0.21527,0.00694216657503661,,0.1841838,0.00416672516172273,0.5155431,0.00555444586837967
0.221972,0.319647,0.435,0.255215,0.212484,0.218518,0.249375,0.23714,0.239113,0.224754,0.270781,0.208571,0.244555,0.2360506,0.0199427590267746,0.2360506,0.00630645413524906,,0.1945718,0.00438922610946395,0.5207394,0.00534784012235651
0.245028,0.341579,0.44,0.268758,0.237756,0.242312,0.270114,0.260727,0.257268,0.247313,0.292215,0.232326,0.263821,0.257261,0.0179469715613031,0.257261,0.0056753307235986,,0.2060889,0.00455822671282985,0.52558605,0.00511677871821423
0.268547,0.36434,0.445,0.282622,0.263921,0.26684,0.291265,0.284765,0.275595,0.270441,0.313624,0.256813,0.28335,0.2789236,0.0162166757670409,0.2789236,0.00512816315003075,,0.2189466,0.00472427994325297,0.5299885,0.00492622154664186
0.292476,0.388,0.45,0.297122,0.290854,0.292064,0.312929,0.309235,0.294267,0.29413,0.335021,0.28195,0.303277,0.3010849,0.0150034156885098,0.3010849,0.00474449662579944,,0.2331906,0.00490257380747887,0.53394715,0.00482353521663915
0.316786,0.412565,0.455,0.312551,0.318438,0.317954,0.335212,0.334141,0.313472,0.318389,0.356437,0.307672,0.323745,0.3238011,0.0144832180927521,0.3238011,0.00457999570220565,,0.2488088,0.00512725333184239,0.53749615,0.00485362451702402
0.341457,0.437973,0.46,0.32916,0.346565,0.344484,0.358202,0.3595,0.333392,0.343222,0.377915,0.33393,0.344885,0.3471255,0.0146698810133022,0.3471255,0.00463902370056938,,0.2658845,0.00536305997697832,0.5406205,0.00500104183877385
0.36647,0.464094,0.465,0.347139,0.37512,0.371617,0.381951,0.385325,0.354181,0.368619,0.399503,0.360672,0.366799,0.3710926,0.0154093463860231,0.3710926,0.00487286318343173,,0.2844119,0.00560661253729319,0.54334035,0.00523973786036246
0.391794,0.490738,0.47,0.366605,0.403986,0.399293,0.406469,0.411615,0.375947,0.394542,0.421238,0.387843,0.389542,0.395708,0.0164678449173601,0.395708,0.00520758980932852,,0.3043035,0.00586168169318517,0.54570225,0.00553463575125685
0.417375,0.51767,0.475,0.387592,0.433031,0.427419,0.431711,0.438341,0.398743,0.420912,0.443151,0.415366,0.413116,0.4209382,0.0176301150232587,0.4209382,0.005575131888425,,0.3255294,0.00610855477215719,0.5477044,0.0058418433302911
0.443131,0.544621,0.48,0.410056,0.462106,0.455865,0.457581,0.465439,0.422553,0.447613,0.465252,0.443142,0.437461,0.4467068,0.0187372978711209,0.4467068,0.00592525384697661,,0.3480316,0.00632697361074876,0.5493376,0.00612611372886269
0.468952,0.571313,0.485,0.433871,0.491047,0.484462,0.483931,0.492807,0.4473,0.474484,0.487532,0.471045,0.462464,0.4728943,0.0196879635539078,0.4728943,0.00622588073207318,,0.3716808,0.00650530819117913,0.55060675,0.00636559446162615
