DISTRICT,VPI
CD 1,0.295124
CD 2,0.331516
CD 3,0.357369
CD 4,0.361048
CD 5,0.374603
CD 6,0.375924
CD 7,0.376753
CD 8,0.549664
CD 9,0.740076
