,04P,06G,06S,08P,08S,10-12D,10G,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
,,,,,,,,,,,,,SEM,,SEM,,SEM,,
0.505,0.35784,0.469245,0.345269,0.296581,0.376645,0.362632,0.395193,0.301121,0.33997,0.360499555555556,0.0519210094569412,0.360499555555556,0.0173070031523137,0.681899,0.0138635499532247,0.339300277777778,0.0155852765527692,,
0.51,0.383567,0.502362,0.36875,0.315029,0.403883,0.387767,0.421336,0.319759,0.364232,0.385187222222222,0.0562447855178099,0.385187222222222,0.01874826183927,0.699643222222222,0.0119571366715747,0.342772,0.0153526992554223,,
0.515,0.411794,0.5359,0.394639,0.336446,0.433501,0.415163,0.449036,0.341244,0.391324,0.412116333333333,0.0598318615475902,0.412116333333333,0.0199439538491967,0.715158,0.00998943483692201,0.348479166666667,0.0149666943430594,,
0.52,0.442334,0.569553,0.422789,0.360894,0.465266,0.44463,0.478011,0.365624,0.421132,0.441137,0.0625741607794304,0.441137,0.0208580535931435,0.728540666666667,0.00800838998765947,0.356298166666667,0.0144332217904015,,
0.525,0.474917,0.603008,0.452979,0.38834,0.498868,0.475913,0.50795,0.392859,0.453444,0.472030888888889,0.064391009579064,0.472030888888889,0.021463669859688,0.740123111111111,0.00609153840367577,0.365953888888889,0.0137776041316819,,
0.53,0.509203,0.635954,0.484925,0.418641,0.533932,0.508707,0.538529,0.422813,0.487955,0.504517666666667,0.0652357602565495,0.504517666666667,0.0217452534188498,0.750097777777778,0.00433036267655422,0.377209944444445,0.013037808047702,,
0.535,0.544784,0.668097,0.518284,0.451544,0.570028,0.542662,0.569425,0.455252,0.52427,0.538260666666667,0.0651006943031332,0.538260666666667,0.0217002314343777,0.75867,0.00294239956403689,0.389795333333333,0.0123213154992073,,
0.54,0.581208,0.699164,0.552669,0.48669,0.606686,0.577397,0.600334,0.489844,0.561915,0.572878555555556,0.0640179510022601,0.572878555555556,0.0213393170007534,0.766048888888889,0.00246762756871884,0.403414833333333,0.0119034722847361,,
0.545,0.617992,0.728917,0.587666,0.523627,0.643417,0.61251,0.63098,0.526172,0.60036,0.607960111111111,0.0620584370683078,0.607960111111111,0.0206861456894359,0.77244,0.00318336499111658,0.417760055555556,0.0119347553402763,,
0.55,0.654642,0.757157,0.622846,0.561826,0.679727,0.647595,0.661123,0.563746,0.639033,0.643077222222222,0.0593275530672254,0.643077222222222,0.0197758510224085,0.778037777777778,0.00445178987654834,0.432519722222222,0.0121138204494784,,
0.555,0.690671,0.783724,0.657782,0.600705,0.715138,0.682248,0.690564,0.602027,0.677352,0.677801222222222,0.0559558918139497,0.677801222222222,0.0186519639379832,0.783022,0.00584840980048803,0.447389611111111,0.0122501868692356,,
0.56,0.725619,0.808504,0.692064,0.63966,0.749207,0.71608,0.719137,0.640445,0.714742,0.711717555555556,0.0520911238914825,0.711717555555556,0.0173637079638275,0.787553,0.00724187392492057,0.462082277777778,0.012302790944374,,
0.565,0.759069,0.831428,0.72531,0.678088,0.781538,0.748726,0.746708,0.678427,0.750667,0.744440111111111,0.0478875394947486,0.744440111111111,0.0159625131649162,0.791769555555556,0.00859158337513961,0.476335277777778,0.0122770482700279,,
0.57,0.790657,0.852464,0.757179,0.715418,0.811798,0.779853,0.773165,0.715419,0.78465,0.775622555555556,0.0434941910348701,0.775622555555556,0.01449806367829,0.795786444444444,0.00988431915278931,0.489918055555556,0.0121911914155397,,
0.575,0.820085,0.87162,0.787374,0.751135,0.839724,0.809169,0.798405,0.750912,0.816292,0.804968444444444,0.0390473087008282,0.804968444444444,0.0130157695669427,0.799808333333333,0.0111136106619066,0.502580055555556,0.0120646901144247,,
0.58,0.847128,0.888933,0.815651,0.784797,0.86513,0.83643,0.822337,0.784461,0.845286,0.832239222222222,0.034663003554863,0.832239222222222,0.0115543345182877,0.803937111111111,0.0122707695849441,0.514151055555556,0.0119125520516159,,
0.585,0.871636,0.904468,0.84182,0.81605,0.887911,0.861447,0.844866,0.815696,0.871424,0.857257555555556,0.0304358614224697,0.857257555555556,0.0101452871408232,0.808156666666667,0.0133549885384118,0.524550444444444,0.0117501378396175,,
0.59,0.893534,0.918311,0.865747,0.844635,0.908035,0.884089,0.865902,0.844338,0.894604,0.879910555555556,0.0264366008552116,0.879910555555556,0.00881220028507055,0.812482222222222,0.0143632147204217,0.533714166666667,0.0115877075027461,,
0.595,0.912817,0.930561,0.887354,0.870392,0.925546,0.904288,0.885357,0.870201,0.914819,0.900148333333333,0.0227145130808477,0.900148333333333,0.00757150436028255,0.816919888888889,0.0152870150113353,0.541614222222222,0.0114292596858089,,
0.6,0.929549,0.94133,0.906614,0.893253,0.940546,0.922038,0.903154,0.893194,0.932151,0.917981,0.0193013593109397,0.917981,0.0064337864369799,0.821460555555556,0.0161161262328478,0.548260222222222,0.0112749563349139,,
0.605,0.943847,0.950733,0.923555,0.913237,0.953195,0.937394,0.919233,0.913312,0.946759,0.933473888888889,0.0162152811064474,0.933473888888889,0.00540509370214915,0.826116222222222,0.0168287521561379,0.553678833333333,0.0111169229291435,,
0.61,0.955875,0.958889,0.938247,0.930438,0.963689,0.950464,0.933562,0.930634,0.958856,0.946739333333333,0.0134625862485631,0.946739333333333,0.00448752874952103,0.830935444444444,0.0173878133329952,0.557901944444444,0.0109376710412581,,
0.615,0.965833,0.965918,0.950804,0.945013,0.972251,0.961402,0.94614,0.945304,0.9687,0.957929444444444,0.0110422654843912,0.957929444444444,0.00368075516146375,0.835832333333333,0.0178007630828943,0.561048555555556,0.010740759122179,,
0.62,0.973942,0.971933,0.961372,0.957166,0.97912,0.970397,0.957002,0.957521,0.976566,0.967224333333333,0.0089457299450632,0.967224333333333,0.00298190998168773,0.840778222222222,0.0180614957927522,0.563223055555556,0.01052170288722,,
0.625,0.980435,0.977045,0.970126,0.967135,0.984536,0.977664,0.966222,0.967521,0.98274,0.974824888888889,0.0071588048311929,0.974824888888889,0.0023862682770643,0.845742666666667,0.018170931120275,0.564541111111111,0.0102785996986696,,
0.63,0.985544,0.98136,0.977257,0.975174,0.988732,0.983427,0.973906,0.975563,0.987498,0.980940111111111,0.00566217209744733,0.980940111111111,0.00188739069914911,0.850695444444444,0.0181376899263439,0.565122333333333,0.0100125403127465,,
0.635,0.989493,0.984974,0.982966,0.981547,0.991924,0.987913,0.980189,0.981915,0.991096,0.985779666666667,0.00443041583827072,0.985779666666667,0.00147680527942357,0.855607333333333,0.0179783226259972,0.565086166666667,0.00972756395271041,,
0.64,0.992492,0.987979,0.987456,0.986511,0.99431,0.991338,0.985227,0.986842,0.993766,0.989546777777778,0.00343501203701596,0.989546777777778,0.00114500401233865,0.860451,0.0177161150306092,0.564547888888889,0.00943055952147393,,
0.645,0.994727,0.990458,0.990921,0.990306,0.996059,0.993903,0.989185,0.990592,0.995712,0.992429222222222,0.00264510414623783,0.992429222222222,8.81701382079275E-4,0.865203444444444,0.017378577312081,0.563612888888889,0.00913013934708012,,
0.65,0.996361,0.992487,0.993546,0.993154,0.997318,0.995786,0.992231,0.993391,0.997102,0.994597333333333,0.00202779510799293,0.994597333333333,6.7593170266431E-4,0.869846888888889,0.0169957686012042,0.562375222222222,0.00883585015193426,,
0.655,0.997534,0.994133,0.995495,0.995252,0.998207,0.997141,0.994526,0.995442,0.998076,0.996200666666667,0.0015515120044653,0.996200666666667,5.17170668155098E-4,0.87437,0.0165973438227995,0.560915333333333,0.00855725724547732,,
0.66,0.998359,0.995457,0.996915,0.996767,0.998823,0.998097,0.996218,0.996914,0.998746,0.997366222222222,0.0011872420538561,0.997366222222222,3.95747351285366E-4,0.878767777777778,0.0162113697839388,0.559299222222222,0.0083035585676121,,
0.665,0.998928,0.996513,0.997927,0.99784,0.999241,0.998757,0.997439,0.997949,0.999197,0.998199,9.08992161682394E-4,0.998199,3.02997387227465E-4,0.883202111111111,0.0158240390979502,0.557498444444444,0.00806351824258883,,
0.67,0.999313,0.997347,0.998634,0.998584,0.99952,0.999203,0.998301,0.998664,0.999496,0.998784666666667,6.96347255325962E-4,0.998784666666667,2.32115751775321E-4,0.887690333333333,0.0154557494713851,0.555547166666667,0.00784393261158023,,
0.675,0.999568,0.998,0.999118,0.99909,0.999702,0.999499,0.998895,0.999146,0.999689,0.999189666666667,5.32653029654385E-4,0.999189666666667,1.77551009884795E-4,0.892327333333333,0.0151028057042024,0.553431166666667,0.0076401783570436,,
0.68,0.999733,0.998506,0.999441,0.999426,0.999818,0.999692,0.999297,0.999465,0.999812,0.999465555555556,4.05951078059652E-4,0.999465555555556,1.35317026019884E-4,0.897015555555556,0.014797746560908,0.551225,0.00746653179346394,,
0.685,0.999839,0.998895,0.999653,0.999646,0.999891,0.999814,0.999562,0.999671,0.999888,0.999651,3.07320679421371E-4,0.999651,1.0244022647379E-4,0.901617333333333,0.0145768985470161,0.549016833333333,0.00733966938674494,,
0.69,0.999904,0.99919,0.999789,0.999785,0.999936,0.99989,0.999732,0.999802,0.999935,0.999773666666667,2.30886877063203E-4,0.999773666666667,7.69622923544011E-5,0.905945555555556,0.0144849062965472,0.546914055555556,0.00728093429445081,,
0.695,0.999944,0.999412,0.999875,0.999873,0.999963,0.999936,0.99984,0.999883,0.999963,0.999854333333333,1.71678478558055E-4,0.999854333333333,5.72261595193517E-5,0.909994333333333,0.0145188090659821,0.54493,0.00728801761275073,,
0.7,0.999968,0.99961,0.999927,0.999926,0.999979,0.999964,0.999907,0.999933,0.999979,0.999910333333333,1.1558762909583E-4,0.999910333333333,3.85292096986099E-5,0.913824444444444,0.0146526366532435,0.543042944444444,0.00734558293147106,,
0.705,0.999982,0.999766,0.999958,0.999958,0.999989,0.99998,0.999947,0.999962,0.999989,0.999947888888889,6.98774721287896E-5,0.999947888888889,2.32924907095965E-5,0.917510666666667,0.0148521454875494,0.541218611111111,0.00743771898912949,,
0.71,0.99999,0.999863,0.999977,0.999977,0.999994,0.999989,0.99997,0.999979,0.999994,0.999970333333333,4.11400048614994E-5,0.999970333333333,1.37133349538331E-5,0.921137444444444,0.0150769708202343,0.539416444444444,0.00754534207759408,,
0.715,0.999995,0.999922,0.999987,0.999987,0.999997,0.999994,0.999984,0.999989,0.999997,0.999983555555556,2.35696367765401E-5,0.999983555555556,7.85654559218003E-6,0.924798444444444,0.0152833686941713,0.537592555555556,0.00764561261988174,,
0.72,0.999997,0.999956,0.999993,0.999993,0.999998,0.999997,0.999991,0.999994,0.999998,0.999990777777778,1.32832392301194E-5,0.999990777777778,4.4277464100398E-6,0.928591888888889,0.0154265627854508,0.535699444444445,0.00771549526593044,,
0.725,0.999999,0.999976,0.999996,0.999996,0.999999,0.999998,0.999995,0.999997,0.999999,0.999995,7.28010988928838E-6,0.999995,2.42670329642946E-6,0.932616111111111,0.0154634406912674,0.533689444444444,0.00773293369728194,,
0.73,0.999999,0.999987,0.999998,0.999998,1,0.999999,0.999998,0.999998,1,0.999997444444444,4.00347071654345E-6,0.999997444444444,1.33449023884782E-6,0.936960222222222,0.0153551565866123,0.531518611111111,0.00767824553842557,,
0.735,1,0.999993,0.999999,0.999999,1,1,0.999999,0.999999,1,0.999998777777778,2.22361067737084E-6,0.999998777777778,7.41203559123613E-7,0.941692111111111,0.0150689245168884,0.529153333333333,0.00753483286022374,,
0.74,1,0.999997,1,1,1,1,0.999999,1,1,0.999999555555556,1.01379375505051E-6,0.999999555555556,3.37931251683503E-7,0.946843888888889,0.0145800168871306,0.526577833333333,0.00729017740919112,,
0.745,1,0.999998,1,1,1,1,1,1,1,0.999999777777778,6.66666666649623E-7,0.999999777777778,2.22222222216541E-7,0.952398333333333,0.0138724088100966,0.523800722222222,0.00693631551615938,,
0.75,1,0.999999,1,1,1,1,1,1,1,0.999999888888889,3.33333333358465E-7,0.999999888888889,1.11111111119488E-7,0.958278,0.0129392199887268,0.520860944444445,0.00646966554991895,,
