,04P,06G,06S,08AG,08P,10-12D,10G,10S,12AG,12P,12S,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,mean,sem,,
0.395,0.17012,0.157952,0.139235,0.171209,0.142288,0.180879,0.199026,0.189184,0.150082,0.17702,0.176597,0.168508363636364,0.0191180817305122,0.168508363636364,0.00576431852831432,0.166588636363636,0.0147287693556601,0.500959863636364,0.0204930878839744
0.4,0.177015,0.167548,0.14775,0.179874,0.149521,0.188063,0.20463,0.19575,0.157948,0.184281,0.183891,0.176024636363636,0.0184354023133358,0.176024636363636,0.00555848293932588,0.191822818181818,0.014559002943395,0.492100909090909,0.0201174858827209
0.405,0.183724,0.177693,0.156235,0.188803,0.157024,0.194929,0.209645,0.201826,0.165951,0.191307,0.190949,0.183462363636364,0.0175518262484149,0.183462363636364,0.00529207473195485,0.218404181818182,0.0139750270058729,0.482529090909091,0.0192671017378277
0.41,0.190211,0.188427,0.164676,0.197898,0.164767,0.201407,0.21411,0.207383,0.17405,0.198017,0.197702,0.190786181818182,0.016515700559275,0.190786181818182,0.00497967108227073,0.246335454545455,0.013233079083984,0.472225363636364,0.0182127501662547
0.415,0.196456,0.199771,0.173072,0.207075,0.172704,0.207461,0.218105,0.212436,0.182196,0.204359,0.204106,0.197976454545455,0.0154232580174465,0.197976454545455,0.00465028726261006,0.275082818181818,0.0124271942140235,0.461446818181818,0.0170774814766335
0.42,0.202459,0.211716,0.181433,0.21627,0.180787,0.213095,0.22174,0.217039,0.190335,0.210322,0.210153,0.205031727272727,0.0144252191878731,0.205031727272727,0.00434936723316457,0.304146727272727,0.0116916961776615,0.4504425,0.016041063410826
0.425,0.208242,0.224232,0.189781,0.225441,0.188965,0.218345,0.225142,0.221281,0.19841,0.21593,0.21587,0.211967181818182,0.0137219031392747,0.211967181818182,0.00413730946568855,0.333608636363636,0.0109932858321239,0.439179272727273,0.0151305952978125
0.43,0.213847,0.237264,0.198149,0.234565,0.197204,0.223277,0.228447,0.225269,0.206374,0.22124,0.221313,0.218813545454545,0.0135220785115576,0.218813545454545,0.00407706007350581,0.362363909090909,0.0102246880552145,0.428224818181818,0.0143017481287203
0.435,0.219339,0.250736,0.206581,0.243636,0.205488,0.22798,0.23179,0.229128,0.214191,0.226335,0.226563,0.225615181818182,0.0139663468438829,0.225615181818182,0.00421101201573852,0.390869727272727,0.00952001731481515,0.417372727272727,0.0137310293305537
0.44,0.2248,0.26455,0.215132,0.252662,0.213825,0.232551,0.235296,0.232984,0.221839,0.231316,0.231719,0.232424909090909,0.015056769171735,0.232424909090909,0.00453978671796684,0.418922636363636,0.00893590284625376,0.406751136363636,0.0134756895642206
0.445,0.230326,0.278598,0.223871,0.261652,0.222253,0.237095,0.239079,0.236958,0.229318,0.236294,0.236889,0.239303,0.0166673832559283,0.239303,0.00502540513608786,0.446282545454545,0.00851276099465186,0.396510227272727,0.0135381661307397
0.45,0.23602,0.292759,0.232873,0.270619,0.230835,0.241713,0.243234,0.241165,0.236648,0.241382,0.242186,0.246312181818182,0.0186173621591147,0.246312181818182,0.00561334589708585,0.472522090909091,0.00828751852701019,0.386895045454545,0.013900864424096
0.455,0.241993,0.306911,0.242225,0.279574,0.239655,0.246502,0.247839,0.245705,0.243868,0.246691,0.247721,0.253516727272727,0.0207319119093773,0.253516727272727,0.00625090663546411,0.497364090909091,0.00822208266853749,0.378076318181818,0.0144729893040016
0.46,0.248351,0.320935,0.252021,0.28852,0.248817,0.251549,0.252917,0.250665,0.251043,0.252324,0.253597,0.260976272727273,0.0228676218968694,0.260976272727273,0.00689484742542101,0.520775181818182,0.00821010571166377,0.370100545454545,0.0151049531370848
0.465,0.255201,0.33472,0.262365,0.297458,0.25843,0.256933,0.258712,0.25612,0.258257,0.258374,0.259912,0.268771090909091,0.0249054728903289,0.268771090909091,0.00750928261850812,0.543014272727273,0.00837914665441526,0.362878409090909,0.0158884292729234
0.47,0.262637,0.348172,0.273362,0.305723,0.268606,0.262727,0.265303,0.262133,0.265614,0.264925,0.266752,0.276904909090909,0.0266878044224494,0.276904909090909,0.0080466757952411,0.563998909090909,0.00866072736338062,0.356453,0.0167074031586217
0.475,0.270746,0.361218,0.285122,0.31414,0.279447,0.268998,0.27277,0.268759,0.273237,0.272051,0.274197,0.285516818181818,0.0282516703676727,0.285516818181818,0.00851819911912476,0.583550454545455,0.00894418503057473,0.350983181818182,0.0174623841496995
0.48,0.279602,0.373804,0.29775,0.322934,0.291043,0.27581,0.281194,0.276046,0.281264,0.279815,0.282316,0.294688909090909,0.0295768399273977,0.294688909090909,0.00891775277487097,0.601679,0.00920090433401176,0.346504954545454,0.0181186571088827
0.485,0.289266,0.385906,0.311349,0.332165,0.303464,0.283227,0.290659,0.284036,0.289847,0.288273,0.291171,0.304487545454546,0.030644610444134,0.304487545454546,0.00923969769907263,0.618556,0.00944848619140075,0.342965772727273,0.0186881838904734
0.49,0.299786,0.397522,0.32601,0.341906,0.316757,0.291313,0.301253,0.292784,0.299146,0.297473,0.300817,0.314978818181818,0.0314529624958228,0.314978818181818,0.00948342501306951,0.634103545454545,0.00963402961982692,0.340437636363636,0.0191174546328964
0.495,0.311199,0.408676,0.341809,0.352249,0.330946,0.300134,0.313065,0.303501,0.309326,0.307453,0.311301,0.326332636363636,0.0319330770934238,0.326332636363636,0.00962818501094359,0.648287818181818,0.00969551590433638,0.339022409090909,0.01932370091528
0.5,0.323526,0.419415,0.358803,0.363299,0.346029,0.309754,0.326183,0.31565,0.320549,0.318246,0.322659,0.338555727272727,0.0321541218107132,0.338555727272727,0.00969483250086533,0.661444272727273,0.00969483250086533,0.338555727272727,0.0193896650017307
0.505,0.336779,0.429805,0.377027,0.375182,0.361981,0.320236,0.340697,0.329366,0.332969,0.329871,0.334921,0.351712181818182,0.0321563884036071,0.351712181818182,0.00969551590433638,0.673667363636364,0.00962818501094359,0.339022409090909,0.01932370091528
0.51,0.350956,0.439929,0.396486,0.388034,0.378758,0.332071,0.356691,0.344776,0.346721,0.342338,0.348101,0.365896454545455,0.0319524614681362,0.365896454545455,0.00963402961982692,0.685021181818182,0.00948342501306951,0.340437636363636,0.0191174546328964
0.515,0.367306,0.449883,0.417157,0.402006,0.396296,0.347239,0.374246,0.361985,0.361922,0.355642,0.362202,0.381444,0.0313370835337304,0.381444,0.00944848619140075,0.695512454545455,0.00923969769907263,0.342965772727273,0.0186881838904734
0.52,0.386498,0.459773,0.438983,0.417253,0.414521,0.364369,0.393427,0.381071,0.378655,0.369767,0.377214,0.398321,0.0305159474078718,0.398321,0.00920090433401176,0.705311090909091,0.00891775277487097,0.346504954545454,0.0181186571088827
0.525,0.407396,0.469709,0.461879,0.433931,0.433348,0.383565,0.414284,0.402077,0.396968,0.384681,0.393107,0.416449545454545,0.0296645058019298,0.416449545454545,0.00894418503057473,0.714483181818182,0.00851819911912476,0.350983181818182,0.0174623841496995
0.53,0.429977,0.479805,0.485725,0.452186,0.452687,0.404884,0.43684,0.424999,0.416869,0.402199,0.409841,0.436001090909091,0.0287243830758975,0.436001090909091,0.00866072736338062,0.723095090909091,0.0080466757952411,0.356453,0.0167074031586217
0.535,0.454177,0.49017,0.510375,0.472142,0.472445,0.428333,0.461088,0.449786,0.438322,0.422649,0.427356,0.456985727272727,0.0277904855160571,0.456985727272727,0.00837914665441526,0.731228909090909,0.00750928261850812,0.362878409090909,0.0158884292729234
0.54,0.479897,0.500912,0.535659,0.493888,0.492532,0.453861,0.486981,0.476332,0.461245,0.444584,0.445582,0.479224818181818,0.0272298401347425,0.479224818181818,0.00821010571166377,0.739023727272727,0.00689484742542101,0.370100545454545,0.0151049531370848
0.545,0.506996,0.512128,0.561388,0.517468,0.51286,0.481353,0.514425,0.504478,0.485512,0.467952,0.464435,0.502635909090909,0.0272695632068229,0.502635909090909,0.00822208266853749,0.746483272727273,0.00625090663546411,0.378076318181818,0.0144729893040016
0.55,0.535296,0.523905,0.587359,0.542863,0.533349,0.510631,0.543278,0.534011,0.510959,0.492686,0.48792,0.527477909090909,0.0274865893972117,0.527477909090909,0.00828751852701019,0.753687818181818,0.00561334589708585,0.386895045454545,0.013900864424096
0.555,0.564588,0.536315,0.613364,0.569985,0.556976,0.541454,0.573344,0.564673,0.537384,0.518695,0.514114,0.553717454545455,0.0282336341492328,0.553717454545455,0.00851276099465186,0.760697,0.00502540513608786,0.396510227272727,0.0135381661307397
0.56,0.594635,0.549416,0.639194,0.598663,0.583908,0.573526,0.604374,0.596163,0.564555,0.545864,0.541553,0.581077363636364,0.0296370369040926,0.581077363636364,0.00893590284625376,0.767575090909091,0.00453978671796684,0.406751136363636,0.0134756895642206
0.565,0.625175,0.563245,0.664648,0.628648,0.611649,0.6065,0.636073,0.628154,0.592221,0.57405,0.57007,0.609130272727273,0.0315743254309286,0.609130272727273,0.00952001731481515,0.774384818181818,0.00421101201573852,0.417372727272727,0.0137310293305537
0.57,0.655931,0.577824,0.689538,0.659609,0.640046,0.639991,0.668102,0.660295,0.620116,0.60308,0.599465,0.637636090909091,0.0339114538775752,0.637636090909091,0.0102246880552145,0.781186454545455,0.00407706007350581,0.428224818181818,0.0143017481287203
0.575,0.686612,0.593148,0.713695,0.691148,0.668907,0.673588,0.700093,0.692232,0.648633,0.632744,0.629505,0.666391363636364,0.036460604318285,0.666391363636364,0.0109932858321239,0.788032818181818,0.00413730946568855,0.439179272727273,0.0151305952978125
0.58,0.716922,0.609197,0.736969,0.722813,0.697994,0.706866,0.731658,0.72361,0.68563,0.662799,0.659928,0.695853272727273,0.0387769693841355,0.695853272727273,0.0116916961776615,0.794968272727273,0.00434936723316457,0.4504425,0.016041063410826
0.585,0.746566,0.625925,0.759237,0.75412,0.727033,0.739405,0.762408,0.754089,0.721892,0.692967,0.690447,0.724917181818182,0.0412163404047914,0.724917181818182,0.0124271942140235,0.802023545454545,0.00465028726261006,0.461446818181818,0.0170774814766335
0.59,0.775253,0.643269,0.784811,0.784579,0.755716,0.770802,0.791965,0.783353,0.756867,0.722944,0.720751,0.753664545454545,0.0438891581426749,0.753664545454545,0.013233079083984,0.809213818181818,0.00497967108227073,0.472225363636364,0.0182127501662547
0.595,0.802709,0.661146,0.811495,0.813721,0.783716,0.800686,0.819981,0.811118,0.790056,0.752406,0.75052,0.781595818181818,0.0463499210135641,0.781595818181818,0.0139750270058729,0.816537636363636,0.00529207473195485,0.482529090909091,0.0192671017378277
0.6,0.828681,0.679454,0.836487,0.841123,0.810698,0.828733,0.846152,0.837136,0.821039,0.78102,0.779426,0.808177181818182,0.0482867500849212,0.808177181818182,0.014559002943395,0.823975363636364,0.00555848293932588,0.492100909090909,0.0201174858827209
0.605,0.852944,0.700958,0.859637,0.866433,0.836342,0.854674,0.87023,0.861207,0.849487,0.808462,0.807151,0.833411363636364,0.0488498015764092,0.833411363636364,0.0147287693556601,0.831491636363636,0.00576431852831432,0.500959863636364,0.0204930878839744
0.61,0.875316,0.730758,0.880834,0.889386,0.860351,0.878307,0.892037,0.88318,0.875172,0.834429,0.833395,0.857560454545454,0.0465414273940188,0.857560454545454,0.014032768352139,0.839039272727273,0.00590750281205013,0.509260590909091,0.0199402711641891
0.615,0.895655,0.760825,0.900013,0.909814,0.882478,0.899503,0.911464,0.902956,0.897969,0.858652,0.857891,0.879747272727273,0.0434825832997326,0.879747272727273,0.013110492156417,0.846563181818182,0.00599601451847684,0.516592045454545,0.0191065066748938
0.62,0.913873,0.790557,0.917148,0.927648,0.902534,0.918206,0.928481,0.920494,0.917851,0.880914,0.880417,0.899829363636364,0.039829454398153,0.899829363636364,0.0120090323493858,0.854007090909091,0.00604520044100283,0.522911136363636,0.0180542327903887
0.625,0.929939,0.819355,0.932252,0.942916,0.920397,0.934433,0.943125,0.935806,0.934886,0.901056,0.900808,0.917724818181818,0.0357608426713303,0.917724818181818,0.0107822997570667,0.861320636363636,0.00607555170898866,0.528202090909091,0.0168578514660553
0.63,0.943873,0.846666,0.945377,0.95573,0.936021,0.948267,0.955501,0.948957,0.949216,0.918985,0.91896,0.933413909090909,0.0314632630966801,0.933413909090909,0.00948653076108394,0.868464,0.00610989258795633,0.532474954545455,0.0155964233490403
0.635,0.955751,0.872012,0.95661,0.966268,0.94943,0.95985,0.965767,0.96006,0.96105,0.934675,0.934838,0.946937363636364,0.0271189206469311,0.946937363636364,0.00817666222775387,0.875413909090909,0.00616971864019532,0.535761727272727,0.0143463808679492
0.64,0.965695,0.895024,0.96607,0.974758,0.960717,0.969367,0.974119,0.969267,0.970636,0.948164,0.948474,0.958390090909091,0.0228910233080767,0.958390090909091,0.00690190321637912,0.882165363636364,0.00627239653963405,0.538112363636364,0.0131742997560132
0.645,0.973862,0.915453,0.973903,0.981458,0.970028,0.977037,0.980781,0.976759,0.978252,0.95955,0.959962,0.967913181818182,0.0189166597411815,0.967913181818182,0.00570358751348369,0.888732363636364,0.00642752288814952,0.539590409090909,0.0121311104016332
0.65,0.980442,0.933182,0.980271,0.986634,0.977552,0.983098,0.98599,0.98274,0.984184,0.968981,0.969449,0.975683909090909,0.0152987406766344,0.975683909090909,0.00461274387175858,0.895144454545455,0.00663560332718152,0.540269727272727,0.0112483471989401
0.655,0.985636,0.948215,0.985351,0.990549,0.983506,0.98779,0.989978,0.987419,0.988711,0.976639,0.977123,0.981901545454545,0.0121046431121585,0.981901545454545,0.00364968722038089,0.901441727272727,0.00688723238660548,0.540229909090909,0.0105369196069864
0.66,0.989652,0.960667,0.989325,0.993447,0.988115,0.991348,0.992969,0.991004,0.992095,0.982734,0.983201,0.986777909090909,0.00936635653234004,0.986777909090909,0.00282406275186057,0.907668545454545,0.00716518563277087,0.539554681818182,0.00998924838463144
0.665,0.992691,0.970738,0.992371,0.995546,0.991607,0.993989,0.995164,0.993693,0.994571,0.987483,0.987909,0.990523818181818,0.00708540025430013,0.990523818181818,0.00213632855754566,0.913866181818182,0.00744642097168857,0.538328818181818,0.00958274952923423
0.67,0.994941,0.978689,0.994656,0.997033,0.994194,0.995907,0.99674,0.995667,0.996346,0.991106,0.991475,0.993341272727273,0.00523816609303119,0.993341272727273,0.00157936650183149,0.920066181818182,0.00770562848220605,0.536637545454545,0.00928499498403754
0.675,0.996571,0.984814,0.996332,0.998064,0.996067,0.99727,0.997847,0.997085,0.99759,0.993809,0.994116,0.995415,0.00378341832209975,0.995415,0.00114074354539644,0.926284,0.00791762664967453,0.5345655,0.00905837019507098
0.68,0.997724,0.989417,0.997536,0.998762,0.997392,0.998216,0.998608,0.998079,0.998443,0.995781,0.996025,0.996907545454545,0.00266880195457199,0.996907545454545,8.04674065734764E-4,0.932516545454545,0.00806007593734094,0.5321955,0.00886475000307571
0.685,0.998522,0.992791,0.99838,0.999225,0.998307,0.998859,0.999118,0.998761,0.999015,0.997186,0.997374,0.997958,0.00183786990834501,0.997958,5.54138627224115E-4,0.938741454545455,0.00811546249100907,0.529608272727273,0.00866960111823319
0.69,0.999061,0.995202,0.998958,0.999525,0.998926,0.999286,0.999453,0.999219,0.99939,0.998164,0.998304,0.998680727272727,0.00123533324175374,0.998680727272727,3.72466986722778E-4,0.944918181818182,0.00807226967836993,0.526881272727273,0.00844473666509271
0.695,0.999416,0.996881,0.999345,0.999715,0.999333,0.999563,0.999669,0.999518,0.99963,0.998829,0.998929,0.999166181818182,8.10222909844162E-4,0.999166181818182,2.44291398954821E-4,0.950992454545455,0.00792520620593632,0.524086863636364,0.00816949760489114
0.7,0.999645,0.998021,0.999597,0.999833,0.999595,0.999738,0.999803,0.999709,0.999781,0.999271,0.999339,0.999484727272727,5.18138995040715E-4,0.999484727272727,1.56224785072897E-4,0.956900818181818,0.00767490573565824,0.521291954545455,0.00783113052073113
0.705,0.99979,0.998774,0.999758,0.999904,0.99976,0.999847,0.999886,0.999828,0.999873,0.999556,0.999602,0.999688909090909,3.23366805515188E-4,0.999688909090909,9.74987603227006E-5,0.962575727272727,0.00732670402530225,0.518556590909091,0.00742420278562495
0.71,0.999878,0.999259,0.999858,0.999946,0.999861,0.999912,0.999935,0.999901,0.999928,0.999736,0.999766,0.999816363636364,1.96679064837737E-4,0.999816363636364,5.93009692895233E-5,0.967952272727273,0.0068891166976892,0.515932045454546,0.00694841766697873
0.715,0.999931,0.999563,0.999919,0.99997,0.999921,0.999951,0.999964,0.999944,0.99996,0.999847,0.999865,0.999894090909091,1.1666829436096E-4,0.999894090909091,3.51768143023675E-5,0.972971090909091,0.00637270585666224,0.5134615,0.00640788267096461
0.72,0.999962,0.999749,0.999955,0.999984,0.999957,0.999973,0.999981,0.999969,0.999978,0.999913,0.999925,0.999940545454545,6.7394901344792E-5,0.999940545454545,2.0320327322154E-5,0.977582454545455,0.00578974368621497,0.511179045454546,0.00581006401353712
0.725,0.999979,0.999859,0.999975,0.999992,0.999977,0.999986,0.99999,0.999984,0.999988,0.999952,0.999959,0.999967363636364,3.80848335358603E-5,0.999967363636364,1.14830093674175E-5,0.981747636363636,0.00515487185851268,0.509109863636364,0.0051663548678801
0.73,0.999989,0.999923,0.999987,0.999996,0.999988,0.999993,0.999995,0.999991,0.999994,0.999974,0.999978,0.999982545454545,2.09254086524232E-5,0.999982545454545,6.30924809863129E-6,0.985439727272727,0.00448588603002575,0.507271409090909,0.00449219527812438
0.735,0.999994,0.999959,0.999993,0.999998,0.999994,0.999996,0.999997,0.999996,0.999997,0.999986,0.999989,0.999990818181818,1.11608080515506E-5,0.999990818181818,3.36511024219734E-6,0.988645454545454,0.00380404583990074,0.505672681818182,0.00380741095014294
0.74,0.999997,0.999979,0.999997,0.999999,0.999997,0.999998,0.999999,0.999998,0.999999,0.999993,0.999994,0.999995454545454,5.80282063079039E-6,0.999995454545454,1.7496162507332E-6,0.991365181818182,0.00313350391391369,0.504315136363636,0.00313525353016442
0.745,0.999999,0.999989,0.999998,0.999999,0.999998,0.999999,0.999999,0.999999,0.999999,0.999997,0.999997,0.999997545454545,2.94494945162457E-6,0.999997545454545,8.87935668872871E-7,0.993612636363636,0.00249925582477784,0.503192454545454,0.00250014376044671
0.75,0.999999,0.999995,0.999999,1,0.999999,1,1,0.999999,1,0.999998,0.999999,0.999998909090909,1.44599761096522E-6,0.999998909090909,4.35984683938358E-7,0.995416090909091,0.00192416312602055,0.502291409090909,0.00192459911070449
