DISTRICT,VPI
CD 1,0.392416
CD 2,0.406936
CD 3,0.407902
CD 4,0.439866
CD 5,0.443709
CD 6,0.444553
CD 7,0.447487
CD 8,0.447898
CD 9,0.453195
CD 10,0.490848
CD 11,0.493135
CD 12,0.497702
CD 13,0.517089
CD 14,0.566615
CD 15,0.662465
CD 16,0.675702
CD 17,0.801797
CD 18,0.898595
