DISTRICT,VPI,TWO-PARTY
CD 1,0.385237,346594
CD 2,0.641593,305485
CD 3,0.619813,329940
CD 4,0.790890,323572
CD 5,0.672081,349592
CD 6,0.565361,316916
CD 7,0.771444,326459
CD 8,0.632040,351155
