DISTRICT,VPI,TWO-PARTY
CD 1,0.277552,251693
CD 2,0.361004,245845
CD 3,0.347225,268673
CD 4,0.251109,253113
CD 5,0.347488,210324
CD 6,0.413067,250429
CD 7,0.391729,236130
CD 8,0.220198,251015
CD 9,0.786752,184724
CD 10,0.396287,264553
CD 11,0.198175,227425
CD 12,0.321554,246139
CD 13,0.187627,226625
CD 14,0.399550,245171
CD 15,0.580280,149826
CD 16,0.650276,155308
CD 17,0.384511,219840
CD 18,0.769419,195120
CD 19,0.253777,214602
CD 20,0.597523,185203
CD 21,0.387756,307461
CD 22,0.371307,252034
CD 23,0.486485,194086
CD 24,0.385976,245181
CD 25,0.386960,264712
CD 26,0.312356,258769
CD 27,0.386819,214979
CD 28,0.609054,167215
CD 29,0.666379,113629
CD 30,0.802105,218970
CD 31,0.390953,237476
CD 32,0.421226,252983
CD 33,0.726458,119327
CD 34,0.613309,148188
CD 35,0.645401,163534
CD 36,0.259967,237669
