DISTRICT,VPI,TWO-PARTY
CD 1,0.418824,230536
CD 2,0.690710,249381
CD 3,0.543425,171733
CD 4,0.414176,253689
CD 5,0.686648,205290
CD 6,0.704110,158231
CD 7,0.524118,208541
CD 8,0.398857,144839
CD 9,0.556746,148495
CD 10,0.491349,147091
CD 11,0.659643,215121
CD 12,0.853423,203163
CD 13,0.890781,206804
CD 14,0.726674,179010
CD 15,0.652161,175581
CD 16,0.544948,100650
CD 17,0.696665,152409
CD 18,0.664330,229529
CD 19,0.677958,151772
CD 20,0.691945,165928
CD 21,0.509005,81286
CD 22,0.384156,157246
CD 23,0.357772,158562
CD 24,0.528199,207859
CD 25,0.432706,163959
CD 26,0.514833,190654
CD 27,0.605871,173976
CD 28,0.689591,169383
CD 29,0.750945,94983
CD 30,0.636833,184681
CD 31,0.547873,131755
CD 32,0.630672,127250
CD 33,0.603889,240945
CD 34,0.831830,87471
CD 35,0.646083,96401
CD 36,0.485303,151868
CD 37,0.848351,164426
CD 38,0.629754,144558
CD 39,0.423073,176868
CD 40,0.798700,80750
CD 41,0.567426,112346
CD 42,0.381884,148964
CD 43,0.754557,135881
CD 44,0.838532,105643
CD 45,0.376654,213541
CD 46,0.566536,101517
CD 47,0.560295,160967
CD 48,0.393484,217442
CD 49,0.424925,199774
CD 50,0.348153,187070
CD 51,0.667126,97259
CD 52,0.498089,212139
CD 53,0.589298,180900
